QUEST_20150317_000795	Feigling
QUEST_20180320_007615	Hurry!	어서가주세요!				큐폴 그리시아
QUEST_20180320_007616	If you find a Kupole in need, please help her.{nl}She may not have much time.	만약 도움을 필요로하는 큐폴을 발견하면 바로 구해주세요.{nl}그녀들은 얼마 버티지 못 할 거에요.				큐폴 그리시아
QUEST_20180320_007617	How much more will I have to regret in order to save my sisters?	얼마나 더 후회해야 자매들을 구할 수 있을까요.				큐폴 그리시아
QUEST_20180320_007618	Kupole Velad	큐폴 블라드				
QUEST_20180320_007619	So you're the one who was with Grisia.{nl}What are you up to? Hanging around a weak Kupole like her.{nl}Don't even think you can fool me.	넌 그리시아와 같이 있던 녀석이구나.{nl}흔해빠지고 약한 큐폴들에게 붙어서 무슨 꿍꿍이를 벌이려는거지?{nl}내가 그리시아처럼 속아줄 거라고 생각한다면 큰 오산이야.				큐폴 블라드
QUEST_20180320_007620	Why do you keep following me?{nl}I'm busy.	왜 자꾸 귀찮게 따라다니는 거야?{nl}난 해야할 일이 있어.				큐폴 블라드
QUEST_20180320_007621	It sounds like her condition is much worse than Zsaia's.{nl}She's not usually indelicate.{nl}We have no choice...	당신이 묘사한 그녀의 상태를 들어보니 즈사이아 보다 상태가 더 심각하군요.{nl}그녀는 원래 그런 무례한 성격이 아닙니다.{nl}이렇게 된 이상 별 수 없군요..				큐폴 그리시아
QUEST_20180320_007622	Even if I am to be caught and destroyed, I must get ahold of her.	잡혀서 소멸하게 놔두느니 오해를 사더라도 그녀를 붙잡아야 할 것 같습니다.				큐폴 그리시아
QUEST_20180320_007623	{nl}Defeat the demons around the Birthplace of Frienel restoration site and retrieve their Neutralizing Orbs.{nl}They use the orbs to capture the Kupoles. They can use them to harm Velad, too.	{nl}프리넬 생가 복원지 주변의 마족들을 처치하고 그들이 지니고 있는 무력화 보주를 구해와 주세요.{nl}큐폴을 생포하려고 만든 도구기 때문에 그걸 이용해서 블라드를 붙잡을 수 있을 겁니다.				큐폴 그리시아
QUEST_20180320_007624	Would the goddess have made a better choice...?{nl}I feel so lonely.	여신이라면 좀 더 나은 방법을 선택하셨을까요?{nl}외롭고 고독합니다.				큐폴 그리시아
QUEST_20180320_007625	That's why I'm glad you're here.	그래서 당신이라도 곁에 있어주셔서 큰 힘이됩니다.				큐폴 그리시아
QUEST_20180320_007626	Having a sister of mine disgraced like this grieves me beyond measure...{nl}But I want to save her.	자매를 이런 물건으로 욕보여야한다는 사실이 맘이 아프지만..{nl}그녀를 구하고 싶습니다.				큐폴 그리시아
QUEST_20180320_007627	Please deliver this Token to Velad.{nl}Tell her I will do as she wants.{nl}Ask her to return to me with the Token.	자, 이 증표를 블라드에게 전해주세요.{nl}제가 그녀의 뜻대로 하겠다고 전해주세요.{nl}분명 그걸 가지고 제게로 돌아올 것 입니다.				큐폴 그리시아
QUEST_20180320_007628	{nl}When she does...{nl}I will get ahold of her.	{nl}그럼 그 때..{nl}그녀를 붙잡겠습니다.				큐폴 그리시아
QUEST_20180320_007629	I can sense Grisia... You also have her Token...{nl}It must be true.	그리시아가 느껴지고 네게 그녀의 증표가 있는 걸 보니..{nl}사실인가 보구나.				큐폴 블라드
QUEST_20180320_007630	{nl}Even if it isn't, there's nothing you can do to stop me.{nl}I'll talk to her.	{nl}거짓말이어도 어차피 날 막을 수 없을태니.{nl}이야기를 해보겠어.				큐폴 블라드
QUEST_20180320_007631	{nl}You can go now.	{nl}넌 먼저 돌아가도 좋아.				큐폴 블라드
QUEST_20180320_007632	I can now understand why humans feel so frustrated.	인간들의 답답함이나 애뜻함을 조금이나마 이해할 수 있겠군요.				큐폴 그리시아
QUEST_20180320_007633	May the goddess forgive me...{nl}Tell me when you're ready.	여신께서 저를 용서하시길..{nl}당신도 준비가 되면 말씀해주세요.				큐폴 그리시아
QUEST_20180320_007634	I know.{nl}I couldn't save anyone.{nl}Is this the end of it all...?	그래요.{nl}저는 아무도 구하지 못 했군요.{nl}여기서 모두 끝나버리는 걸까요..				큐폴 그리시아
QUEST_20180320_007635	If only one of us Kupoles can survive this...{nl}If only we can find our goddess...	우리 중 단 하나의 큐폴이라도 살아서..{nl}여신을 찾아갈 수 있다면..				큐폴 그리시아
QUEST_20180320_007636	{nl}Please, sacrifice me and rescue Velad.{nl}Give her everything that is mine.	{nl}저를 희생해서 블라드를 구해주세요.{nl}제 남은 모든 것을 블라드에게 전해주세요.				큐폴 그리시아
QUEST_20180320_007637	{nl}I feel terribly guilty asking you to do such a sad thing.{nl}But please.	{nl}당신에게 이런 슬픈일을 부탁드려서 정말 죄송합니다.{nl}부탁드립니다.				큐폴 그리시아
QUEST_20180320_007638	No!{nl}What are you doing to her!	안 돼!{nl}언니에게 무슨 짓이야!				큐폴 블라드
QUEST_20180320_007639	Because of you...{nl}Y...{nl}You...	너 때문에..{nl}너..{nl}널..				큐폴 블라드
QUEST_20180320_007640	{nl}I don't know why I'm doing this.{nl}I hate you and I wish there was something I could do.{nl}But I'm grateful...	{nl}왜 내가 이러는 건지 모르겠어.{nl}네가 증오스럽고 당장이라도 어떻게 하고 싶어.{nl}하지만 고마워해..				큐폴 블라드
QUEST_20180320_007641	It is all because of Grisia!{nl}She ruined everything!	{nl}그리시아 때문이야.{nl}그리시아가 모두 망쳐놨어!				큐폴 블라드
QUEST_20180320_007642	{nl}Go back before I change my mind.{nl}I... I can't....	{nl}내 마음이 변하기 전에 돌아가줘.{nl}난 지금.. 지금..				큐폴 블라드
QUEST_20180320_007643	{nl}I just can't take this right now.{nl}Go back... Go back to wherever you belong.	{nl}지금 이 상황을 받아들이기 너무 힘들어.{nl}돌아가 줘.. 네가 가야할 곳으로 가버려.				큐폴 블라드
QUEST_20180320_007644	{nl}Thank you.	{nl}고마워.				큐폴 블라드
QUEST_20180320_007645	Adventurer Anastazija	탐험가 아나스타지야				
QUEST_20180320_007646	My name is Anastazija. I'm an adventurer; I explore the world and record what I see.{nl}I'm pretty sure I have been to many places you never even set foot on.	내 이름은 아나스타지야. 세상의 이곳저곳을 탐험하며 기록을 남기고 다니는 탐험가야.{nl}분명 네가 가보지 못한 곳까지 가봤을 정도로 많은 곳을 탐험했다고 자신할 수 있어.				탐험가 아나스타지야
QUEST_20180320_007647	Alright, you might have guessed right before, but not this time! Hmm, what about this?	저번엔 우연히 맞췄을지 몰라도 이번엔 어딘지 알기 어려울껄! 음, 이번엔 이걸로 내볼까.				탐험가 아나스타지야
QUEST_20180320_007648	Heheh, that was hard, wasn't it? This won't be easy either. Hmm, what about this?	후후, 역시 어려웠지? 이번에도 만만치 않을 거라고. 음, 이번엔 이걸로 내볼까.				탐험가 아나스타지야
QUEST_20180320_007649	Nice job solving today's enigma. If you want more, come back again tomorrow.{nl}You can bet I'm stepping it up.	오늘은 오늘의 수수께끼를 풀었으니 더 풀고 싶다면 내일 찾아와.{nl}내일은 맞추기 힘든 걸로 내줄테니까 말이야.				탐험가 아나스타지야
QUEST_20180320_007650	What? You found it? I thought I was the only one who knew that place! I can't believe it.{nl}Alright, as a reward, here's a Ripped Book I found. It looks valuable.{nl}	어, 찾아낸 거야? 거긴 나만 알 수 있는 장소라고 생각했는데! 으아, 분하네.{nl}찾은 대가로 탐험 중에 희귀해 보여 챙겨온 찢어진 책장을 줄게.{nl}				탐험가 아나스타지야
QUEST_20180320_007651	Don't get too cocky yet! I have a lot more enigmas for you, so come back again.{nl}You'll never guess my next one!	하나 맞췄다고 우쭐해 하지 말라고! 수수께끼는 또 있으니까 도전하러 와.{nl}다음에 낼 문제는 맞히지 못할걸!				탐험가 아나스타지야
QUEST_20180320_007652	Huh? You forgot the enigma? Silly head. I'll just tell you again.	응? 수수께끼의 내용을 잊어버렸어? 어쩔 수 없네. 다시 알려줄게.				탐험가 아나스타지야
QUEST_20180320_007653	You think you're quite the adventurer, huh?{nl}Alright, let's see if you can guess this.	너도 이곳저곳을 많이 다녀봐서 여러 장소들에 대해서 아는 것이 많다고?{nl}흐응, 자신있나 보구나. 그래, 그럼 내가 내는 수수께끼를 한 번 풀어봐.				탐험가 아나스타지야
QUEST_20180320_007654	This looks like the place Anastazija was talking about. Check the surroundings?	이 근처가 아나스타지야가 말한 장소인 것 같습니다. 주변을 확인해볼까요?				안내
QUEST_20180320_007655	Aww, that's too bad. You only had one day to make your guess.{nl}I applaud the effort, but I can't count a right guess if it's too late.	아, 안타깝네. 수수께끼의 마감은 하루가 끝나기 전까지라서 말이야.{nl}찾아낸 노력은 인정하지만, 하루가 지났으니 이건 무효야.				탐험가 아나스타지야
QUEST_20180320_007656	{nl}Alright, shall we move on to the next question? How about... this!	{nl}자, 그럼 다음 수수께끼를 내볼까? 뭐가 좋을까.. 이번엔 이걸로 해보자.				탐험가 아나스타지야
QUEST_20180320_007657	Sorry, I'm all out of riddles.{nl}I need to make some more for the next time I meet you.	미안하지만 더 이상 낼 수 있는 수수께끼가 없어.{nl}나도 너와 대결하기 위해 새로운 수수께끼를 만들어내고 있는 중이야.				탐험가 아나스타지야
QUEST_20180320_007658	{nl}They're gonna be so hard, you better prepare!	{nl}이전보다 더 어려운 수수께끼로 준비해둘테니까 긴장하는 게 좋을거야!				탐험가 아나스타지야
QUEST_20180320_007659	Way to Selection	선택의 관문				
QUEST_20180320_007660	Select one of the following.	다음의 선택지 중 하나를 골라주세요.				선택의 관문
QUEST_20180320_007661	Way to Results	결과의 관문				
QUEST_20180320_007662	The guardian of the next room is decided based on the combination of your choices. Do you wish to enter?	모든 선택지를 조합한 결과로 다음 방의 수호자가 결정됩니다. 들어가시겠습니까?				결과의 관문
QUEST_20180320_007663	Western forest of the city guarded by a knight, the one who assembled the troops.{nl}Past the crossroads, behind a deserted field inhabited by two scarecrows.	병사들의 집합 명령을 부탁하는 기사가 지키고 있는 번화한 도시의 서쪽 숲.{nl}교차로를 지나 인기척이 느껴지지 않는 두 개의 허수아비가 놓인 밭의 뒤.				탐험가 아나스타지야
QUEST_20180320_007664	{nl}The Adventurer's Token is hidden nearby.{nl}Find it and bring it back to me. Can you?	{nl}그 주변에 내가 다녀왔다는 의미로 탐험가의 증표를 숨겨놓았어.{nl}그 증표를 찾아서 가져와 줘. 과연 찾을 수 있을까?				탐험가 아나스타지야
QUEST_20180320_007665	Eastern forest guarded by a young knight, against the hordes of Vubbes coming from the Crystal Mine.{nl}In front of the path to the city, at the end of the camp, a watchtower stands unguarded.	수정광산에서 몰려오는 부베 무리를 막기 위해 젊은 기사가 지키고 있는 동쪽 숲.{nl}도시에 진입하는 길 앞, 캠프의 끝에 놓여있는 아무도 없는 경비 탑 하나.				탐험가 아나스타지야
QUEST_20180320_007666	The town nearest to the Crystal Mine that was first attacked by the Vubbes.{nl}Inside the base that the Vubbes have build nearby, a large tree displays the Vubbe Tokens.	수정광산에서 나온 부베들이 가장 먼저 습격한 광산 앞에 있는 마을.{nl}그 주변에 있는 부베들이 지은 기지 안에 부베의 증표들을 걸어놓은 큰 나무 한 그루.				탐험가 아나스타지야
QUEST_20180320_007667	Last floor of the mine that's filled with crystals and demons.{nl}Follow the rails but don't go down. Notice the board with writings in white chalk.	지금은 마족들로 가득한 수정이 가득한 광산, 그곳의 마지막 층.{nl}바닥에 놓인 레일을 따라 내려가기 전에 보이는 하얀 분필로 무언가가 적혀있는 칠판.				탐험가 아나스타지야
QUEST_20180320_007668	A hill filled with flowers in front of the church once coveted by the demons.{nl}To the left you will find five pillars, one of them fallen.	한때 마왕이 찾고 있다던 성당의 앞에 있는 꽃이 가득한 동산.{nl}그 동산의 왼쪽의 어느 장소에 있는 5개의 기둥 중 쓰러진 기둥.				탐험가 아나스타지야
QUEST_20180320_007669	A demon queen came looking for something in this church.{nl}There, in the underground room with the old carpet and chairs is an enormous pipe organ.	무언가를 찾는 마왕이 들이닥쳤다고 들려오는 성당의 지하.{nl}그 성당의 지하 어딘가 낡은 카펫과 수많은 의자가 깔린 곳에 있는 웅장한 파이프 오르간.				탐험가 아나스타지야
QUEST_20180320_007670	A demon queen came looking for something in this church.{nl}In the middle floor, the path leads from the entrance to an altar with three reading desks.	무언가를 찾는 마왕이 들이닥쳤다고 들려오는 성당의 중앙층.{nl}그 입구를 따라 쭉 이어진 길에 도착한 예배소에 놓인 세 개의 독서대.				탐험가 아나스타지야
QUEST_20180320_007671	A demon queen came looking for something in this church.{nl}The destroyed altar in the top floor is bathed by sunlight. At its end, a pipe organ.	무언가를 찾는 마왕이 들이닥쳤다고 들려오는 성당의 위층.{nl}햇살이 스며들어오는 엉망진창이 된 예배소 끝에 놓여있는 파이프 오르간.				탐험가 아나스타지야
QUEST_20180320_007672	In this cemetery lie the followers who once bravely fought against evil.{nl}Deep inside, at the very end, a room, and behind it, an unknown door.	한때 악과 열심히 싸우던 파수꾼들이 잠든 묘역, 그 깊은 안쪽.{nl}그 끝에 놓인 정체 모를 관의 뒤편에 보이는 알 수 없는 문.				탐험가 아나스타지야
QUEST_20180320_007673	To the right of the settlement area is a ravine with a sacred lake.{nl}The path up the hill nearby leads to a large Goddess Statue.	개척지의 오른편으로 지나 나오는 신성한 연못이 위치한 골짜기.{nl}그 골짜기 주변 언덕으로 올라가는 길의 가운데에 놓인 큰 여신상.				탐험가 아나스타지야
QUEST_20180320_007674	Near the city destroyed by Medzio Diena, the settlers are gathered by a pond.{nl}Follow the river from the path going up the camp until the beautiful waterfall.	신수의 날로 무너진 도시 근처, 도시로 이주하기 위한 이주민들이 모여있는 연못.{nl}캠프의 윗길에 보이는 강을 따라가면 그 시작에 있는 아름다운 폭포.				탐험가 아나스타지야
QUEST_20180320_007675	Agents and chasers are busy investigating traces in the forest next to the fallen city.{nl}Follow the forest trail to the right and you will see a small wooden tower.	정보원과 추적자가 분주하게 누군가를 찾기 위한 흔적을 조사하고 있는 무너진 도시 옆에 있는 숲.{nl}그 오른쪽으로 이어진 숲길을 따라 보이는 작은 나무 탑.				탐험가 아나스타지야
QUEST_20180320_007676	First floor of the abandoned prison.{nl}Far on the right is an area for the prison guards with manholes on the ground.	지금은 폐쇄되어 사용하지 않는다고 전해진 지하 감옥, 그 첫 번째 층.{nl}그 층의 제일 우측, 많은 간수를 노역시키기 위한 구역의 바닥에 놓인 맨홀들.				탐험가 아나스타지야
QUEST_20180320_007677	On the path to the monastery is a bracken forest where the herbalists have settled in their shacks.{nl}Follow the rolling river down, down until the wooden dock.	수도원으로 가는 길에 위치한 약초꾼의 오두막이 자리 잡은 고사리 숲.{nl}그 굽이치는 물줄기를 따라 내려오는 끝에 있는 자그마한 나무 선착장.				탐험가 아나스타지야
QUEST_20180320_007678	On the path to the Sage Master's monastery is a forest with a small village.{nl}Behind the village, a downhill road and a small abandoned house.	세이지 마스터가 있는 수도원 가는 길에 위치한 작은 마을이 있는 숲.{nl}그 마을의 뒤편으로 따로 떨어져 있는 내리막길에 놓인 아무도 없는 작은 집.				탐험가 아나스타지야
QUEST_20180320_007679	In front of the path to the monastery is a bracken forest.{nl}There, on the highest hill is the beginning of a waterfall.	수도원으로 가는 길 바로 앞에 펼쳐진 고사리 숲.{nl}그곳의 가장 높은 언덕에서 흘러내리는 폭포수가 흘러내리기 시작하는 곳.				탐험가 아나스타지야
QUEST_20180320_007680	The entrance to this monastery is now covered in giant bracken.{nl}On the way leading to the annex are two statues holding babies, and in the center, an altar with a cross.	현재는 거대한 고사리들로 뒤덮인 어느 수도원의 입구.{nl}별관으로 가는 길목에 보이는 아기를 안고 있는 두 개의 조각상과 그 가운데에 십자가가 박힌 제단.				탐험가 아나스타지야
QUEST_20180320_007681	The annex of a monastery now covered in giant bracken.{nl}There, in the place where rituals were performed there are three chairs under a cross.	현재는 거대한 고사리들로 뒤덮인 어느 수도원의 별관.{nl}별관 어딘가에 의식을 관장하던 장소의 십자가 아래에 놓인 세 개의 의자.				탐험가 아나스타지야
QUEST_20180320_007682	The annex of a monastery now covered in giant bracken.{nl}Follow the path leading from the hall to the garden. Find the bronze statue opposite the fountain.	현재는 거대한 고사리들로 뒤덮인 어느 수도원의 본관.{nl}홀에서 이어진 길을 따라 나오는 정원에서 분수대의 맞은편에 있는 동상.				탐험가 아나스타지야
QUEST_20180320_007683	Springs in a forest where the spirit-guiding owls live.{nl}Go up through the path and standing there you'll see the wooden statues and their horrendous faces.	부엉이 조각상이 영혼을 인도한다고 들려오는 숲의 샘터.{nl}샘터의 위쪽 길 어딘가에 있는 등불을 머리에 이고 흉측한 얼굴을 보이며 서 있는 목조상들.				탐험가 아나스타지야
QUEST_20180320_007684	Above the settlement area is a valley leading to Andale Village.{nl}There, amidst the unrecognizable ruins stands a perfect arched gate.	개척지 위쪽으로 이어져 있는 안데일 마을로 가기 위한 계곡.{nl}이제는 다 무너져 어떤 건물이었는지 모를 폐허에 멀쩡하게 서 있는 아치형의 문.				탐험가 아나스타지야
QUEST_20180320_007685	This is the forest of Andale Village and the fallen Goddess Statues.{nl}One of them is by the stream that flows through the forest.	무너진 여신상들로 가득한 안데일 마을이 위치한 숲.{nl}그 숲의 가운데 흐르는 물길 사이에 쓰러져있는 웃지 않는 여신상.				탐험가 아나스타지야
QUEST_20180320_007686	This is the valley where a great shrine exists for the Goddess of the Sun.{nl}Look under the praying Goddess Statue with the broken wings.	태양의 여신의 대신단이 있다는 어느 골짜기.{nl}그 골짜기에 날개만이 부러진 채 기도한 채 온전한 형태를 유지하는 여신상의 아래.				탐험가 아나스타지야
QUEST_20180320_007687	This forest appears at the end of a route filled with thorns.{nl}Somewhere in the forest is a large pillar of thorns. Look under it.	가시가 가득한 관문로를 지나면 나타나는 숲.{nl}그 숲의 어딘가 우람하게 우뚝 솟은 가시 기둥의 아래.				탐험가 아나스타지야
QUEST_20180320_007688	Within the forest of thorns is a group of owl sculptures.{nl}Find the spot where they gather and look for the statues' blueprints.	가시가 가득한 숲 중에 부엉이 조각상이 많이 있는 어느 숲.{nl}그 부엉이 조각상이 많이 모여있는 곳 어딘가에 놓인 조각상의 설계도.				탐험가 아나스타지야
QUEST_20180320_007689	In this plateau, a historian and a group of researchers set up camp to investigate the Royal Mausoleum.{nl}If you climb the most rugged hill there, you will see the entrance to something unknown, but you will not be able to enter.	왕릉을 연구하기 위한 사학자와 연구원의 조사단 캠프가 있는 협곡.{nl}그곳에서 가장 험난한 언덕을 올라가면 보이는 들어갈 수 없는 정체 모를 입구.				탐험가 아나스타지야
QUEST_20180320_007690	The plateau where the forgers were active among the remains of a fallen sanctuary.{nl}The entrance to the ruins is now blocked by stones and protected by two guards.	무너진 성소와 유적지가 남은 가운데 위조범들이 활개를 친다던 협곡.{nl}이제는 돌로 막혀 들어갈 수 없는 유적지에 두 명의 수호자가 지키고 있는 입구.				탐험가 아나스타지야
QUEST_20180320_007691	In this valley is the camp of the excavation team that's investigating the ruins.{nl}Somewhere in the cliff is the face of a beast carved on a fragment.	협곡에 묻힌 유적을 발굴하기 위한 발굴단 캠프가 위치한 계곡.{nl}그 계곡의 절벽 어딘가에 새겨진 맹수의 얼굴 조각.				탐험가 아나스타지야
QUEST_20180320_007692	The canyon belt of never-ending thunder, lightning and rain.{nl}An isolated cabin. The lights are on, but no one is around.	천둥, 번개와 세찬 비로 가득한 악천후가 계속되는 협곡지대.{nl}지금은 불만 켜진 채 인기척이 느껴지지 않는 외딴곳에 있는 오두막.				탐험가 아나스타지야
QUEST_20180320_007693	These are the canyon crossroads leading to the mausoleum named after King Zachariel.{nl}On the way to the mausoleum are 6 pillars. To the right is a large stone tower.	초대 대왕 자카리엘의 이름을 본뜬, 왕릉으로 진입하기 위한 협곡의 교차로.{nl}왕릉으로 진입하는 6개의 기둥 앞, 그 오른편에 세워진 커다란 돌탑.				탐험가 아나스타지야
QUEST_20180320_007694	The shrine ruins where the red water flows, contaminated by something that no one knows.{nl}Look at the head of the large chapel pillar that has fallen.	원인을 알 수 없는 오염으로 붉게 변한 물이 흐르는 신전 터.{nl}그 신전 터의 예배당에 쓰러져있는 큰 기둥의 머리 부분.				탐험가 아나스타지야
QUEST_20180320_007695	The red water came from this reservoir.{nl}Next to the courtyard is a pillar where the water flows. What is in front of it?	붉게 오염된 물이 흘러 내리는 원인이 되는 수원지.{nl}그 수원지의 안뜰 옆에 세워진, 물이 흘러내리는 기둥 앞.				탐험가 아나스타지야
QUEST_20180320_007696	In this tomb lies the deputy who was once in charge of the Kingdom's territory.{nl}Behind it is a door blocked by iron bars.	그 옛날, 왕국의 영토를 관리하던 의전대신이 잠들어있는 묘소.{nl}그 의전대신이 잠든 묘소의 뒤편에 쇠창살로 막힌 문의 앞.				탐험가 아나스타지야
QUEST_20180320_007697	This small village was ruled by an alchemist lord who lost his reputation.{nl}In the village is a place where those who passed are at rest.	한때는 덕망이 높았으나 지금은 타락한 연금술사 성주가 관리하던 작은 마을.{nl}그 작은 마을 어딘가에 죽은 마을 사람들이 잠든 장소.				탐험가 아나스타지야
QUEST_20180320_007698	This garden was owned by an alchemist lord who lost his reputation.{nl}Where does the railroad coming from the hill lead to?	한때는 덕망이 높았으나 지금은 타락한 연금술사 성주가 관리하던 장원.{nl}그 높은 언덕으로부터 이어진 철길이 내려와 도착하는 지점.				탐험가 아나스타지야
QUEST_20180320_007699	Lower floor of the fallen alchemist's fortress that is now occupied by the demons.{nl}Go up and you'll find an arched gate surrounded by fragments that look like clock hands.	이제는 마족들이 점령한 타락한 알케미스트의 성안, 그 아래층.{nl}그곳의 위쪽에 시곗바늘과 같은 조각들로 둘러싸인 아치형 문의 앞.				탐험가 아나스타지야
QUEST_20180320_007700	Upper floor of the fallen alchemist's fortress that is now occupied by the demons.{nl}In the room with the portraits there is a desk covered in a pile of grass.	이제는 마족들이 점령한 타락한 알케미스트의 성안, 그 위층.{nl}성 사람들의 초상화가 걸린 방에 놓인 풀 더미로 덮인 독서대.				탐험가 아나스타지야
QUEST_20180320_007701	This place is said to have been used as a residence for those who built the mausoleum of an ancient king.{nl}From the lone altar, cross the see-through floor to see under the door that is blocked by fallen stones.	고대의 왕이 잠든 왕릉을 짓기 위한 노역자들의 숙소로 사용되었던 곳.{nl}방치된 제단에서 투명 바닥을 통해 건너오면 보이는 무너진 돌로 막힌 문 아래.				탐험가 아나스타지야
QUEST_20180320_007702	A Pardoner and a Squire once fought in this forest.{nl}In front of the bridge uniting the stream banks stands a lone statue of a pilgrim.	파드너와 스콰이어가 무슨 이유인지 시끄럽게 싸우고 있던 숲.{nl}시냇가 사이에 있는 다리 앞에 우두커니 서 있는 순례자의 석상.				탐험가 아나스타지야
QUEST_20180320_007703	In this farm, a baron is running experiments to purify a mysterious energy.{nl}Next to the entrance of the brewery is a group of wagons filled with grapes.	남작이 이상한 기운을 정화하기 위해 동력원을 설치하여 실험하고 있던 농장.{nl}포도가 가득한 양조장의 입구 옆에 놓인 포도가 가득한 수레들.				탐험가 아나스타지야
QUEST_20180320_007704	The ferrets of this forest are causing a lot of trouble to the locals.{nl}Look for the small wooden watchtower placed on the way between the cliff and the workshop.	돌변한 페릿들로 인해 마음고생을 하는 마을 사람들이 사는 숲.{nl}절벽과 작업장 사이에 위로 이어진 길에 설치된 작은 나무 망루.				탐험가 아나스타지야
QUEST_20180320_007705	In this forest, among the verdant trees is the largest statue of the Goddess of Destiny.{nl}Follow the water from the hill next to the statue until you see the start of the stream.	무성한 나무들 사이로 가장 큰 운명의 여신상이 있는 숲.{nl}여신상 옆 높은 언덕의 폭포로부터 이어진 물길을 따라가면 보이는 시작의 폭포.				탐험가 아나스타지야
QUEST_20180320_007706	Out of all the forests inhabited by ferrets, this one is the closest to Fedimian.{nl}From the wooden sign on the path to the cliff you can see a beautiful waterfall.	페릿이 살아가는 숲 중에서 페디미안과 가장 가까운 숲.{nl}절벽으로 향하는 나무판으로 이어진 길의 시작점에 보이는 폭포의 경치.				탐험가 아나스타지야
QUEST_20180320_007707	First floor of the deep chamber where Great King Zachariel rests.{nl}An ancient mural can be seen between the large piles of cubes.	초대 국왕, 자카리엘 대왕이 잠든 깊은 묘실의 1층.{nl}쌓여있는 거대한 빛나는 큐브들 사이에 그려진 고대의 벽화.				탐험가 아나스타지야
QUEST_20180320_007708	Third floor of the deep chamber where Great King Zachariel rests.{nl}Pass the iron gate and follow the corridor to the metal trap resembling a broken hammer.	초대 국왕, 자카리엘 대왕이 잠든 깊은 묘실의 3층.{nl}부서진 철문이 놓인 복도의 끝에 부서진 망치처럼 생긴 망가진 철퇴 함정.				탐험가 아나스타지야
QUEST_20180320_007709	Fourth floor of the deep chamber where Great King Zachariel rests.{nl}At the end of the path on the right there is a room with a statue of a silent guardian. 	초대 국왕, 자카리엘 대왕이 잠든 깊은 묘실의 4층.{nl}우측의 길의 끝에 나오는 방에 묵묵하게 서 있는 수호자의 석상.				탐험가 아나스타지야
QUEST_20180320_007710	Highest floor of the deep chamber where Great King Zachariel rests.{nl}On the small stairs leading to the king's tomb, a shining cube blocks your path.	초대 국왕, 자카리엘 대왕이 잠든 깊은 묘실의 마지막 층.{nl}대왕이 잠든 방에 이어진 작은 계단 중에 입구를 막고 있는 큐브가 빛나는 곳.				탐험가 아나스타지야
QUEST_20180320_007711	This settlement area is being turned into a field by order of the knight commander.{nl}Next to the path that leads to the herb farm is a cliff. High up there is a notice board that you can't see.	클라페다 기사단장의 명으로 밭을 만들기 위해 개간 중인 개척지.{nl}약초밭으로 가는 길옆에 보이는 얼굴 바위 절벽 중 높은 곳에 있어 보이지 않는 표지판이 있는 곳.				탐험가 아나스타지야
QUEST_20180320_007712	This private land has been invaded by a strange energy that needs to be purified.{nl}In the field set out for cultivation, look for the pile of boats by the water.	이상한 기운을 정화하려는 남작이 소유하고 있는 사유지.{nl}그 사유지의 일부를 개간하려는 터의 물가에 뒤집어 쌓아놓은 배들의 앞.				탐험가 아나스타지야
QUEST_20180320_007713	A group of tenants, angry at the tyranny of the land's baron, is gathered at this farm.{nl}Among the large weather vanes, one stands on the path to the brewery and workshop.	남작의 수탈과 횡포에 화가 난 소작인들이 모여있는 농장.{nl}거대한 풍향계 중에 양조장과 작업장으로 가는 길에 세워진 풍향계의 앞.				탐험가 아나스타지야
QUEST_20180320_007714	Thanks to you, the Lieutenant is back and our new recruit is safe.{nl}I'm sorry we put you in such a tough spot, but you were a great help.{nl}	자네 덕분에 부관님도 돌아오시고 우리 신입도 무사하다는 연락을 받았네.{nl}게다가 계속해서 우리들이 무리한 부탁들을 했는데도 전부 도와주지 않았는가.{nl}				저항군 스키르가일라
QUEST_20180320_007715	Words aren't enough to express how much we appreciate it.{nl}It might not be much, but I'd like you to take this gift. We're really thankful.{nl}	자네에게는 내 몇 번을 고맙다고 말해도 모자를걸세.{nl}그래서 변변찮지만 우리의 고마운 마음을 담은 이 상자를 자네가 부디 받아주었으면 하네.{nl}				저항군 스키르가일라
QUEST_20180320_007716	So, to find out what this box does you need to put all the items in it.{nl}Unfortunately we didn't have enough people to gather everything.{nl}	이 상자에 깃든 효과는 상자에 넣을 물건들을 모두 넣어야 알 수 있다네.{nl}우리가 물건을 찾으러 다니기엔 모든 단원들이 아직 모이질 않아 상황이 어려워 물건을 모을 수 없었네.{nl}				저항군 스키르가일라
QUEST_20180320_007717	I'm afraid you'll have to look for some items yourself to fill up the box. Just look around, see what you can find.{nl}I hope it can be useful to you.	미안하지만 자네가 한 번 더 이 주변을 돌아다니면서 상자에 담을 물건들을 찾아보게나.{nl}부디 이 상자가 자네에게 도움이 되었길 바라네.				저항군 스키르가일라
QUEST_20180320_007718	Thank you for helping Vaivora, and us Kupoles.{nl}We're humbled to witness a human like yourself display such a deep sense of sacrifice and courage.{nl}	바이보라 님과 저희를 도와주셔서 감사합니다.{nl}인간인 당신이 보여준 희생과 용기를 보며 저희 큐폴들은 인간을 다시 보게 됐습니다.{nl}				큐폴 루길레
