SKILL_20150317_000001	Angriff
SKILL_20150414_003975	Hohe Deckung: Erhöhte Abwehr
SKILL_20150414_003976	Die Abwehr von [Hohe Deckung] erhöht sich um 1 pro Attributsstufe.
SKILL_20150414_003977	Erhöht die Abwehr von [Armvergrößerung rechts] um 1 pro Attributsstufe.
SKILL_20150414_003978	Gehirnvergrößerung: Verbessern
SKILL_20150414_003979	Erhöht den Intelligenzeffekt von [Gehirnvergrößerung] pro Attributsstufe.
SKILL_20150414_003980	Losbinden: Schaden
SKILL_20150414_003981	Von [Losbinden] betroffene Gegner erleiden Schaden. Der Angriff erhöht sich pro Attributsstufe um 10 % des magischen Angriffs.
SKILL_20150414_003982	Vertrauten beschwören: Verbessern
SKILL_20150414_003983	Der Schaden des mit [Vertrauten beschwören] beschworenen Geists erhöht sich pro Attributsstufe.
SKILL_20150414_003984	Vertrauten beschwören: Flächenschaden
SKILL_20150414_003985	Wenn der beschworene Vertraute explodiert, besteht eine Chance von 1 % pro Attributsstufe, dass er Gegnern in der Nähe Schaden zufügt.
SKILL_20150414_003986	Beschwörer: SP-Wiederherstellung
SKILL_20150414_003987	Die SP-Wiederherstellung des Charakters erhöht sich pro Attributsstufe um 1.
SKILL_20150414_003988	Fleischkanone: Verderbnis
SKILL_20150414_003989	Bei Angriffen mit [Fleischkanone] besteht eine Chance, dass Gegner für 30 Sekunden mit "Verderbnis" belegt werden. Die Chance erhöht sich pro Attributsstufe um 5 %.
SKILL_20150414_003990	Fleischkreis: Demoralisieren
SKILL_20150414_003991	Nach dem Einsatz von [Fleischkreis] wird der Angriff von Gegnern in der Nähe für 15 Sekunden verringert. Dieser Effekt endet, sobald die Gegner sich vom Fleischkreis entfernen.
SKILL_20150414_003992	Gegenstandserweckung: Schnell
SKILL_20150414_003993	Verringert die Anzahl der durch [Gegenstandserweckung] erzeugten Monster in Dungeons um 1.
SKILL_20150414_003994	Gegenstandserweckung: Schnelle Entscheidung
SKILL_20150414_003995	Verringert die Anzahl der durch [Gegenstandserweckung] erzeugten Angriffswellen in Dungeons um 1.
SKILL_20150414_003996	Waffentausch
SKILL_20150414_003997	Du kannst die Waffe wechseln.
SKILL_20150414_003998	Vendetta: Gegenangriff
SKILL_20150414_003999	Verdoppelt den Schaden, wenn ein mit [Bluten] belegter Gegner von [Vendetta] getroffen wird.
SKILL_20150414_004000	Meucheln: Schwere Blutung
SKILL_20150414_004001	Wenn ein mit "Bluten" belegter Gegner mit [Meucheln] angegriffen wird, wird er mit [Schwere Blutung] belegt.
SKILL_20150414_004002	Magiepfeil: Stille
SKILL_20150414_004003	Wenn das Feuer von [Magiepfeil] Gegner trifft, besteht eine Chance, dass diese mit [Stille] belegt werden. Die Chance erhöht sich pro Attributsstufe um 10 %.
SKILL_20150414_004004	Gottesmaschinenpfeil: Schock
SKILL_20150414_004005	Von [Gottesmaschinenpfeil] getroffene Gegner werden für 10 Sekunden mit [Schock] belegt.
SKILL_20150414_004006	Wiederbeleben: Dauer
SKILL_20150414_004007	Die Dauer von [Wiederbeleben] erhöht sich um 10 Sekunden pro Attributsstufe.
SKILL_20150414_004008	Handkantenschlag: Bluten
SKILL_20150414_004009	Angriffe mit [Handkantenschlag] belegen den Gegner für 8 Sekunden mit [Bluten]. Die Dauer von [Bluten] steigt pro Stufe um eine Sekunde.
SKILL_20150414_004010	Handmesser: Zerbrochene Rüstung
SKILL_20150414_004011	Bei Angriffen mit [Handmesser] besteht eine Chance, dass der Gegner mit [Zerbrochene Rüstung] belegt wird. Die Chance erhöht sich pro Attributsstufe um 5 %.
SKILL_20150414_004012	Zentimeterschlag: Stille
SKILL_20150414_004013	Von [Zentimeterschlag] getroffene Gegner werden für 5 Sekunden mit [Stille] belegt.
SKILL_20150414_004014	Arkane Energie: Zusätzlicher Schaden
SKILL_20150414_004015	Beim Einsatz von [Arkane Energie] erleiden Gegner in der Nähe Lichtschaden. Der Schaden steigt mit der Attributsstufe.
SKILL_20150414_004016	Chortasmata: Dauer
SKILL_20150414_004017	Die Dauer von [Chortasmata] steigt pro Attributsstufe um eine Sekunde.
SKILL_20150414_004018	Indulgentia: Zusätzlicher Schaden
SKILL_20150414_004019	Bei Angriffen mit [Indulgentia] erleiden Gegner zusätzlichen Schaden in Höhe von 10 % des magischen Schadens pro Attributsstufe.
SKILL_20150414_004020	Erkennen des Bösen: Erhöhte Zielanzahl
SKILL_20150414_004021	[Erkennen des Bösen] trifft pro Attributsstufe 1 Ziel mehr.
SKILL_20150414_004022	Ruf der Gottheiten: Verblassen
SKILL_20150414_004023	Der Charakter erzeugt keine Bedrohung gegen mit [Ruf der Gottheiten] beschworene Monster (Präventivangriffe ausgenommen).
SKILL_20150414_004024	Vorhersage: Dauer
SKILL_20150414_004025	Die Dauer von [Vorhersage] steigt pro Attributsstufe um eine Sekunde.
SKILL_20150414_004026	Habichtstange: Erhöhte Reichweite
SKILL_20150414_004027	Du kannst dich pro Attributsstufe um 20 weiter von der [Habichtstange] entfernen, ohne dass sie verschwindet.
SKILL_20150428_004028	Magiebeschuss
SKILL_20150428_004029	{#993399}{ol}[Magisch]{/}{/}{nl}Greife Gegner kontinuierlich mit magischen Geschossen an. Beim Angriff auf schlafende Gegner wird ein zusätzliches Geschoss abgefeuert.
SKILL_20150428_004030	Angriff: #{SkillAtkAdd}#{nl}Max. Dauer: 5 Sekunden{nl}Verbraucht Ausdauer.
SKILL_20150428_004031	Angriff: +#{CaptionRatio}#{nl}Maximale Stapel: #{CaptionRatio2}#{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150428_004032	{#DD5500}{ol}[Physisch] – [Schlag]{/}{/}{nl}Schwinge einen Gegner in einem weiten Bogen und nutze die Fliehkraft, um ihn wegzuschleudern.
SKILL_20150428_004033	Angriff: #{SkillAtkAdd}#{nl}9 Drehungen{nl}Wurfdistanz: 150
SKILL_20150428_004034	Maximale Ziele: #{CaptionRatio}#{nl}Dauer: 10 Sekunden
SKILL_20150428_004035	Stelle eine Piratenflagge auf und verbessere so Piratenfähigkeiten. Besiege wiederholt Gegner in der Nähe der Flagge, um eine Kombo auszulösen (funktioniert nur, wenn der Korsar Gruppenanführer ist).
SKILL_20150428_004036	Schließt Schatztruhen niedriger Stufe mit einem Schlüssel auf.
SKILL_20150428_004037	Schlüsselstufe: +#{CaptionRatio}#
SKILL_20150428_004038	Doppelwaffenangriff
SKILL_20150428_004039	Solange die Flagge aktiv ist, besteht eine Chance, dass du Monstern bei deinen Angriffen Gegenstände stiehlst.
SKILL_20150428_004040	Verringert die Wirkzeit einer Fertigkeit. Wird einmalig auf den Einsatz der nächsten Fertigkeit angewendet.
SKILL_20150428_004041	Der Schaden sinkt mit der Anzahl verketteter Ziele.{nl}Maximale Verkettungen: #{CaptionRatio}#{nl}Dauer: #{CaptionTime}# Sekunden{nl}Verbraucht 16 Ausdauer.
SKILL_20150428_004042	Maximale Verkettungen: #{CaptionRatio}#{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150428_004043	Ziehe die Ketten zusammen, um die Gegner zu versammeln.
SKILL_20150428_004044	{#339999}{ol}Dauer von [Fesselung]{/}{/}: #{CaptionTime}# Sekunden
SKILL_20150428_004045	Vergrößere vorübergehend deine Schwert- und Schildhand sowie die deiner Gruppenmitglieder.
SKILL_20150428_004046	Physische/magische Abwehr +#{CaptionRatio}# bei Schilden{nl}Physischer/magischer Angriff +#{CaptionRatio2}# bei Schwertern{nl}Hat keinen Effekt bei anderen Zweitwaffen.{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150428_004047	Beschwöre einen Dämonenanführer.{nl}Macht des Dämons: +#{CaptionRatio}# %{nl}Zusätzlicher Schaden des Dämons: #{CaptionRatio2}#
SKILL_20150428_004048	Effekt wird #{CaptionRatio}#-mal angewendet.
SKILL_20150428_004049	Reichweite der Zustandszurücksetzung: 100{nl}Zustandszurücksetzung im Zielbereich 10 Sekunden lang nicht möglich.{nl}Verbraucht 1 Dimensionsteil.
SKILL_20150428_004050	{#DD5500}{ol}[Physisch] – [Stoß]{/}{/}{nl}Verschießt einen Pfeil, der sich in mehrere Teile aufspaltet und auf Gegner in der Nähe abprallt.
SKILL_20150428_004051	Blockt Distanzgeschosse: #{CaptionRatio}#{nl}Dauer des Langschilds: #{CaptionTime}# Sekunden
SKILL_20150428_004052	Angriff: #{SkillAtkAdd}#{nl}Dauer: 15 Sekunden{nl}Verbraucht 3 Stücke Eschenholz.
SKILL_20150428_004053	Angriff: #{SkillAtkAdd}#{nl}Flächenschaden: #{CaptionRatio}#{nl}Verbraucht 1 Claymore.
SKILL_20150428_004054	Angriff: #{SkillAtkAdd}#{nl}Wirkzeit: 3 Sekunden{nl}Verbraucht 3 Stücke Kiefernholz.
SKILL_20150428_004055	{#DD5500}{ol}[Physisch] – [Schlag]{/}{/}{nl}Lässt Fallen und magische Kreise in der Nähe explodieren, um Gegnern Schaden zuzufügen.
SKILL_20150428_004056	Angriff: #{SkillAtkAdd}#{nl}#{CaptionRatio}# Pfeile{nl}Platzierungsreichweite: #{CaptionRatio2}#{nl}Verbraucht 2 Drähte.
SKILL_20150428_004057	Ausweichen: -#{CaptionRatio}#{nl}Zeigedauer: 90 Sekunden
SKILL_20150428_004058	Spürt versteckte Monster auf.{nl}KI-Dauer von "Jagen": 90 Sekunden
SKILL_20150428_004059	Verbraucht #{SpendPoison}# Einheiten Gift aus dem Gifttopf.
SKILL_20150428_004060	Angriff: #{SkillAtkAdd}#{nl}Dauer: 30 Sekunden
SKILL_20150428_004061	Wirf Tränengas in einen Zielbereich. Das Ziel wird mit [Blenden] belegt.
SKILL_20150428_004062	Dauer des Tränengases: #{CaptionTime}# Sekunden
SKILL_20150428_004063	Angriff: #{SkillAtkAdd}#{nl}Trifft 2-mal.{nl}Kritische Trefferchance: #{CaptionRatio}# %
SKILL_20150428_004064	Angriff: #{SkillAtkAdd}#{nl}Dauer von Bluten: #{CaptionTime}# Sekunden{nl}Verbraucht 1 Breitkopfpfeil.
SKILL_20150428_004065	Angriff: #{SkillAtkAdd}#{nl}Physische Abwehr: -#{CaptionRatio}# %{nl}Verbraucht 1 Bodkin-Pfeil.
SKILL_20150428_004066	Angriff: #{SkillAtkAdd}#{nl}Dauer: 10 Sekunden{nl}Verbraucht 1 Magiepfeil.
SKILL_20150428_004067	Angriff: #{SkillAtkAdd}#{nl}Dauer: 10 Sekunden{nl}Verbraucht 1 Gottesmaschinenpfeil.
SKILL_20150428_004068	Hangschuss
SKILL_20150428_004069	Dauer von "Schutzhilfe": #{CaptionTime}# Sekunden{nl}Chance bei Treffer: 50 %{nl}Aufladungen: #{CaptionRatio}#
SKILL_20150428_004070	Erschafft einen magischen Kreis vor dir, der die BEW von Verbündeten erhöht und Ausweichen sowie physische Abwehr von Gegnern verringert. Gruppenmitglieder erhalten den Effekt, ohne den magischen Kreis zu betreten.
SKILL_20150428_004071	Gewährt einen Segen, der den Angriffen deiner Gruppenmitglieder und Verbündeten zusätzlichen Schaden hinzufügt.
SKILL_20150428_004072	Zusätzlicher Schaden: +#{CaptionRatio}#{nl}Anzahl der Treffer: #{CaptionRatio2}#{nl}Betroffene Verbündete: #{CaptionTime}#{nl}Dauer: 45 Sekunden{nl}Verbraucht 1-mal Heiligpuder.
SKILL_20150428_004073	Bewegungsreichweite des Körpers: #{CaptionRatio}#{nl}Angriff des Körpers: +#{CaptionRatio2}#
SKILL_20150428_004074	Reflektiert Schaden entsprechend dem physischen Angriff des Ziels.{nl}Zusätzlicher reflektierter Schaden: #{SkillAtkAdd}#{nl}Max. Dauer: #{CaptionTime}# Sekunden{nl}Abwehr von Distanzgeschossen und Magie nicht möglich.
SKILL_20150428_004075	Angriff: #{SkillAtkAdd}#{nl}Verbraucht 2 Ausdauer.
SKILL_20150428_004076	{#DD5500}{ol}[Physisch] – [Stoß]{/}{/}{nl}Greife Gegner mit einer Speerhand an und füge ihnen innere Verletzungen zu.
SKILL_20150428_004077	Angriff pro Treffer: #{SkillAtkAdd}#{nl}Verbraucht alle 0,5 Sekunden #{CaptionRatio}# SP.
SKILL_20150428_004078	Maximale Dauer: #{CaptionTime}# Sekunden{nl}Kann Magie und Distanzgeschosse blocken.
SKILL_20150428_004079	Maximale Kaufmenge: #{CaptionRatio}#
SKILL_20150428_004080	Entfernt magische Kreise in der Nähe.{nl}Maximale Dauer: 30 Sekunden{nl}Ziele: #{CaptionRatio}#
SKILL_20150428_004081	Kann Schatztruhen mit Leichtigkeit öffnen.
SKILL_20150428_004082	Verringert leicht die Bewegungsgeschwindigkeit. Zusätzlicher Schaden bei Blitzangriffen. Fügt Feuerzielen kontinuierlich Schaden zu.
SKILL_20150428_004083	Schnellwirken: Magischer Schaden
SKILL_20150428_004084	Erhöht den magischen Schaden der nächsten Fertigkeit.
SKILL_20150428_004085	SP-Wiederherstellungsrate
SKILL_20150428_004086	Erhöhte SP-Wiederherstellungsrate.
SKILL_20150428_004087	Erhöht den Flächenschaden.
SKILL_20150428_004088	Ausdauer-Wiederherstellung
SKILL_20150428_004089	Stellt kontinuierlich Ausdauer wieder her.
SKILL_20150428_004090	Erhöhte magische Abwehr
SKILL_20150428_004091	Schattenangriff erhöht.
SKILL_20150428_004092	Rote Aura
SKILL_20150428_004093	Blaue Aura
SKILL_20150428_004094	Gelbe Aura
SKILL_20150428_004095	Erhöhte Ausdauer-Wiederherstellung.
SKILL_20150428_004096	Gewährt alle 10 Angriffe erhöhten Schaden.
SKILL_20150428_004097	Verstärkung des Erdsets
SKILL_20150428_004098	Statusverstärkung, mit der "Zorn der Erde" aktiviert werden kann.
SKILL_20150428_004099	Zorn der Erde
SKILL_20150428_004100	Erdangriffe verursachen eine fixe zusätzliche Schadensmenge.
SKILL_20150428_004101	Schaufelstatus
SKILL_20150428_004102	Verstärkung des Sets der Familie Legwyn
SKILL_20150428_004103	Statusverstärkung, mit der "Vermächtnis der Legwyns" aktiviert werden kann.
SKILL_20150428_004104	Vermächtnis der Legwyns
SKILL_20150428_004105	Stellt pro Sekunde SP wieder her. Es werden insgesamt 200 SP im Verlauf von 5 Sekunden wiederhergestellt.
SKILL_20150428_004106	Die kritische Trefferchance von [Stoßen] erhöht sich um 5 % pro Stufe.
SKILL_20150428_004107	Der Schlagschaden von [Synchro-Stoßen] wird pro Attributsstufe um 10 % verringert, der Stoßschaden dafür um 20 % pro Attributsstufe erhöht.
SKILL_20150428_004108	Bei Aktivierung von [Finestra] steigt der Flächenschaden um 3, das Ausweichen wird aber doppelt so stark verringert.
SKILL_20150428_004109	[Montano] belegt Ziele für 10 Sekunden mit [Verlangsamung]. Die Dauer von [Verlangsamung] erhöht sich bei kleinen/mittleren/großen Monstern um jeweils 3/2/1 Sekunde(n).
SKILL_20150428_004110	Lethargie: Zusätzlicher Schaden
SKILL_20150428_004111	Von [Lethargie] betroffene Gegner erleiden um 20 % erhöhten Schaden durch Schlagangriffe.
SKILL_20150428_004112	Der Feuerangriff des Charakters erhöht sich beim Verwenden von [Kampfstab]-Waffen um 3 pro Attributsstufe.
SKILL_20150428_004113	Beim Einsatz von [Schwerkraftpol] erhöht sich das Ausweichen um 10 % pro Attributsstufe.
SKILL_20150428_004114	Erhöht die Dauer von [Geistige Kette] um 1 Sekunde pro Attributsstufe.
SKILL_20150428_004115	Punji-Pfählung: Schaden durch Niederschlagen
SKILL_20150428_004116	Luftmonster, die mit [Schnappen] auf den Boden geholt wurden, erleiden pro Attributsstufe 20 % mehr Schaden durch Hieb- und Schlagangriffe.
SKILL_20150428_004117	Der Eisangriff erhöht sich beim Verwenden von [Stab]-Waffen um 3 pro Attributsstufe.
SKILL_20150428_004118	Es besteht eine Chance von 1 % pro Attributsstufe, dass mit [Stürmen] weggestoßene Gegner mit [Betäubung] belegt werden.
SKILL_20150714_004119	St. 1, Angriffsmodifikator: #{SkillFactor}#, Flächenangriffsmodifikator: #{SkillSR}#
SKILL_20150714_004120	Kampfstabangriff
SKILL_20150714_004121	Greife einen Gegner aus kurzer Entfernung an.
SKILL_20150714_004122	Angriff +#{SkillFactor}#, Flächenangriffsmodifikator: #{SkillSR}#{nl}Verbraucht #{SpendSP}# SP.
SKILL_20150714_004123	Dauer: #{CaptionTime}# Sekunden{nl}Flächenangriffsmodifikator: #{CaptionRatio}#
SKILL_20150714_004124	Erhöhte HP- und SP-Wiederherstellung
SKILL_20150714_004125	Erhöhung aller Werte
SKILL_20150714_004126	Verringerte Abklingzeiten
SKILL_20150714_004127	Erhöhter EP-Gewinn
SKILL_20150714_004128	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150714_004129	Entfernt den Effekt seiner Rüstung vom Ziel.
SKILL_20150714_004130	Verringert die Abwehr des Ziels.
SKILL_20150714_004131	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}Flächenangriffsmodifikator: #{SkillSR}#
SKILL_20150714_004132	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio2}# %{nl}Ignorierte Abwehr: #{CaptionRatio}#{nl}Flächenangriffsmodifikator: #{SkillSR}#
SKILL_20150714_004133	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}Wirkzeit: 0,5 Sekunden{nl}Flächenangriffsmodifikator: #{SkillSR}#
SKILL_20150714_004134	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}{#339999}{ol}Dauer von [Schock]{/}{/}: #{CaptionTime}# Sekunden,{nl}Flächenangriffsmodifikator: #{SkillSR}#
SKILL_20150714_004135	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}Mittelgroße Ziele: 2 Angriffe in Folge{nl}Große Ziele: 3 Angriffe in Folge
SKILL_20150714_004136	Speerangriff: #{SkillAtkAdd}#{nl}Schildangriff: #{CaptionRatio}#{nl}Attributsschaden: #{CaptionRatio2}# %{nl}Flächenangriffsmodifikator: #{SkillSR}#
SKILL_20150714_004137	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}Maximale Dauer: 5 Sekunden{nl}Verbraucht Ausdauer.
SKILL_20150714_004138	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}{#339999}{ol}Dauer der [Betäubung]{/}{/}: 7 Sekunden
SKILL_20150714_004139	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}{#339999}{ol}Dauer von [Blenden]{/}{/}: 3 Sekunden{nl}Flächenangriffsmodifikator: #{SkillSR}#
SKILL_20150714_004140	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio2}# %{nl}Abwehr: -#{CaptionRatio}#{nl}{#339999}{ol}Dauer von [Ungleichgewicht]{/}{/}: #{CaptionTime}# Sekunden
SKILL_20150714_004141	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}Maximale Dauer: 10 Sekunden
SKILL_20150714_004142	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}Flächenangriffsmodifikator: #{SkillSR}#{nl}Kann während des Reitens verwendet werden.
SKILL_20150714_004143	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}Maximale Dauer: 10 Sekunden{nl}Flächenangriffsmodifikator: #{SkillSR}#{nl}Kann während des Reitens verwendet werden.
SKILL_20150714_004144	Angriff: #{SkillAtkAdd}#{nl}Flächenangriffsmodifikator: #{SkillSR}#{nl}Kann während des Reitens verwendet werden.
SKILL_20150714_004145	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}Maximale Dauer: 10 Sekunden{nl}Verbraucht Ausdauer.
SKILL_20150714_004146	Angriff: #{SkillFactor}# % + #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio2}# %{nl}Treffer in Folge: #{CaptionRatio}#
SKILL_20150714_004147	Die Blockchance ist erhöht.{nl}Verbraucht alle 2 Sekunden 1 % SP.
SKILL_20150714_004148	Abwehr: +#{CaptionRatio}#{nl}Verbraucht alle 2 Sekunden 1 % SP.
SKILL_20150714_004149	Abwehr: -#{CaptionRatio}# %{nl}Verbraucht alle 2 Sekunden 1 % SP.
SKILL_20150714_004150	#{CaptionRatio}# Treffer in Folge beim Angriff.{nl}Verbraucht alle 2 Sekunden 1 % SP.
SKILL_20150714_004151	Verbraucht 1 % SP pro 2 Sekunden.
SKILL_20150714_004152	Wechselt zur Schildkrötenformation. Erhöht die Abwehr aller Mitglieder, verringert aber die Bewegungsgeschwindigkeit.
SKILL_20150714_004153	Angriff: -#{CaptionRatio}# %{nl}Abwehr: +#{CaptionRatio}# %{nl}Zusätzliche Abwehr: #{CaptionRatio2}# %{nl}Verbraucht alle 2 Sekunden 1 % SP.
SKILL_20150714_004154	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}Wirkzeit: 1 Sekunde{nl}Flächenangriffsmodifikator: #{SkillSR}#
SKILL_20150714_004155	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %
SKILL_20150714_004156	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}Anzahl der Treffer: #{SkillSR}#{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150714_004157	Attributsschaden: #{CaptionTime}# %{nl}Anzahl Felder: #{CaptionRatio}#{nl}Anzahl der Treffer: #{CaptionRatio2}#{nl}Dauer: 15 Sekunden
SKILL_20150714_004158	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio2}# %{nl}Verbraucht alle 0,5 Sekunden #{CaptionRatio}# % der SP.
SKILL_20150714_004159	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}{#339999}{ol}Dauer von [Einfrieren]{/}{/}: 3 Sekunden
SKILL_20150714_004160	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}{#339999}{ol}Dauer von [Einfrieren]{/}{/}: 4 Sekunden
SKILL_20150714_004161	Anzahl Felder: #{CaptionRatio}#{nl}{#339999}{ol}Dauer von [Einfrieren]{/}{/}: 3 Sekunden{nl}Dauer der Eiswand: 15 Sekunden
SKILL_20150714_004162	{#339999}{ol}Angriff von [Einfrieren]{/}{/}: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %
SKILL_20150714_004163	Chance, dass getroffene Gegner mit {#339999}{ol}[Einfrieren]{/}{/} belegt werden: 50 %{nl}{#339999}{ol}Dauer von [Einfrieren]{/}{/}: #{CaptionRatio}# Sekunden
SKILL_20150714_004164	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio2}# %{nl}Flächenangriffsmodifikator: #{CaptionRatio}#{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150714_004165	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionTime}# %{nl}Flächenangriffsmodifikator: #{CaptionRatio}#{nl}Verbraucht #{CaptionRatio2}# % SP pro Sekunde.
SKILL_20150714_004166	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio2}# %{nl}Anzahl der Treffer: #{CaptionRatio}#{nl}Dauer: #{CaptionTime}# Sekunden
SKILL_20150714_004167	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio2}# %{nl}Anzahl der Ziele: #{CaptionRatio}#
SKILL_20150714_004168	Dauer: #{CaptionTime}# Sekunden{nl}Anzahl der Ziele: #{CaptionRatio}#
SKILL_20150714_004169	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}Dauer: 15 Sekunden
SKILL_20150714_004170	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}Wirkzeit: #{CaptionTime}# Sekunden{nl}Flächenangriffsmodifikator: #{SkillSR}#
SKILL_20150714_004171	Dauer: #{CaptionTime}# Sekunden{nl}Verringert die Bewegungsgeschwindigkeit um 10 %.{nl}Zusätzlicher {#DD5500}{ol}Blitzschaden{/}{/}{nl}{#DD5500}{ol}Feuerziele{/}{/}: #{SkillAtkAdd}#
SKILL_20150714_004172	Beschwört einen Monsteranführer vom Typ "Dämon".{nl}Fähigkeiten des Dämons: +#{CaptionRatio}# %
SKILL_20150714_004173	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio2}# %{nl}Beschworener Vertrauter: #{CaptionRatio}#
SKILL_20150714_004174	[Erhöhte SP-Wiederherstellungsrate]{nl}[Erhöhter Flächenangriffsmodifikator]{nl}[Ausdauer-Wiederherstellung]{nl}[Erhöhte magische Abwehr]{nl}[Erhöhter Schattenangriff]
SKILL_20150714_004175	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}Sammle Kadaver jedes Typs.
SKILL_20150714_004176	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio2}# %{nl}Flächenangriffsmodifikator: #{SkillSR}#{nl}Pflanzen-, Tier- und Mutantenkadaver{nl}Verbraucht #{CaptionRatio}# Kadaver.
SKILL_20150714_004177	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio2}# %{nl}Dauer: 15 Sekunden{nl}Verbraucht #{CaptionRatio}# Mutantenkadaver.
SKILL_20150714_004178	Zielreichweite: #{CaptionRatio}#
SKILL_20150714_004179	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio2}# %{nl}Feuert #{CaptionRatio}#-mal.
SKILL_20150714_004180	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}{#339999}{ol}Dauer von [Aufspießung]{/}{/}: #{CaptionTime}# Sekunden
SKILL_20150714_004181	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio2}# %{nl}Angriff mit Abprallpfeil: #{CaptionRatio}# %
SKILL_20150714_004182	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}50 % zusätzliche kritische Trefferchance
SKILL_20150714_004183	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}Bombendauer: 5 Sekunden
SKILL_20150714_004184	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio2}# %{nl}Anzahl der Treffer: 5
SKILL_20150714_004185	Attributsschaden: #{CaptionRatio}# %{nl}Anzahl der Würfe: #{CaptionRatio2}#{nl}Krähenfuß-Dauer: 20 Sekunden{nl}{#339999}{ol}Dauer von [Verlangsamung]{/}{/}: 10 Sekunden
SKILL_20150714_004186	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}{#339999}{ol}Dauer der [Betäubung]{/}{/}: #{CaptionTime}# Sekunden{nl}Verbraucht 1 Steinkugel
SKILL_20150714_004187	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}Maximale Ladezeit: #{CaptionTime}# Sekunden
SKILL_20150714_004188	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}Dauer: 15 Sekunden{nl}Verbraucht 3 Stücke Eschenholz.
SKILL_20150714_004189	Angriff: #{SkillAtkAdd}#{nl}Attributsschaden: #{CaptionRatio}# %{nl}Flächenangriffsmodifikator: #{CaptionRatio}#{nl}Verbraucht 1 Claymore.
