ITEM_20150317_000001	Empty_helmet	없음_helmet
ITEM_20151022_008328	Krivis-Kristalledelstein	크리비의 수정보석
ITEM_20151022_008329	Ein geheimnisvoller Edelstein, von dem man sagt, dass ihn die Göttin Gabija verschenkt hat. Laut der Legende kann er die Lebensenergie von Monstern einschließen.	가비야로부터 내려받았다는 풍문이 도는 신비한 보석. 몬스터의 생명력을 담을 수 있다고 합니다.
ITEM_20151022_008330	Energiegeladener Kristalledelstein	충만한 수정보석
ITEM_20151022_008331	Ein Edelstein, der sehr viel Energie in sich trägt. Ein geübter Benutzer kann damit ein heiliges Feuer entfachen.	힘이 충만한 수정보석. 자격있는 자는 이것으로 성화를 피워낼 수 있다고 합니다.
ITEM_20151022_008332	Segensweihwasser	축복을 위한 성수
ITEM_20151022_008333	Weihwasser, das verwendet wird, um angehende Priester zu segnen. Zuvor muss es von bereits eingeweihten Klerikern gesegnet werden.	프리스트의 길을 걷고자하는 계시자에게 행운을 빌어주기 위한 성수. 다른 성직자들의 축복이 필요한 듯 합니다.
ITEM_20151022_008334	Monsterkristallisierung	몬스터의 결정
ITEM_20151022_008335	Für "Monsterkristallisierung" muss man die Peltasta-Prüfung bestanden haben.	펠타스타 승급시험을 통과하기 위한 몬스터들의 결정입니다.
ITEM_20151022_008336	Spezialarznei aus Orsha	오르샤 특제 치료약
ITEM_20151022_008337	Eine Spezialarznei aus Orsha, die Tamara besorgt hat. Ihre vorübergehende Heilkraft ist außergewöhnlich, auch wenn sie nicht vollständig heilt.	타마라가 구한 오르샤 특제 치료약. 완치는 어렵지만 일시적으로 회복시키는 데에는 탁월하다고 알려져 있습니다.
ITEM_20151022_008338	Erstes Kraut	첫번째 약초
ITEM_20151022_008339	Ein Kraut, das im Farnkrautwald wächst.	고사리 숲에서 자라는 약초입니다.
ITEM_20151022_008340	Zweites Kraut	두번째 약초
ITEM_20151022_008341	Drittes Kraut	세번째 약초
ITEM_20151022_008342	Erzkristall	광석 결정
ITEM_20151022_008343	Ein Metallklumpen, der sich im Magen eines Monsters gebildet hat.	몬스터 몸 안에 축적된 금속 덩어리입니다.
ITEM_20151022_008344	Meißel für Dievdirbys	딥디르비용 끌
ITEM_20151022_008345	Ein Meißel für Steinmetzarbeiten, der für die Bokor-Meisteranwärterin vom Schmied in Orsha hergestellt wurde.	오르샤 대장장이가 보코르 서브 마스터를 위해 만들어 준 조각용 끌입니다.
ITEM_20151022_008346	Aidas' Verlorene Speerspitze	아이다스의 잃어버린 창 끝
ITEM_20151022_008347	Eine Speerspitze, die im Magen eines Monsters gefunden wurde, das vor dem Hopliten-Meister davonlief.	하플라이트 마스터의 공격으로부터 도망쳤던 몬스터의 몸에 박혀 있던 창 끝입니다.
ITEM_20151022_008348	Krivis-Kristalledelstein	크리비의 일렁이는 수정보석
ITEM_20151022_008349	Wenn du ein Monster läuterst, das nur noch wenig oder keine Lebensenergie mehr übrig hat, wird es zu Asche.	생명력이 소진된 몬스터를 정화하면 재만 남게 된다고 합니다.
ITEM_20151022_008350	Geläuterte Monsterasche	정화된 몬스터의 재
ITEM_20151022_008351	Die Überreste eines Monsters, das mit heiligem Feuer geläutert wurde.	몬스터가 성화의 힘에 의해 정화되고 남은 재 입니다.
ITEM_20151022_008352	Sparnasmann-Horn	스파나스맨의 뿔
ITEM_20151022_008353	Das Horn eines Sparnasmanns. Zenoa sucht danach.	제노아가 소재로 원하는 스파나스맨의 뿔입니다.
ITEM_20151022_008354	Essenz der Sadhu-Meisterin	사두 마스터의 기운
ITEM_20151022_008355	Die kristallisierte Essenz der Sadhu-Meisterin.	사두 마스터의 기운이 형상화되어 계시자에게 깃들어 있습니다.
ITEM_20151022_008356	Hopliten-Speerspitze	하플라이트들의 부러진 창 끝
ITEM_20151022_008357	Ein Hinweis darauf, dass hier ein Hoplit gegen Monster gekämpft hat.	다른 하플라이트들이 몬스터를 상대로 수련한 흔적들입니다.
ITEM_20151022_008358	Arzneiflüssigkeit eines Barbaren	바바리안 특제 약물
ITEM_20151022_008359	Eine Spezialarznei, die Barbaren während ihrer Ausbildung in ihrer Heimatstadt trinken. Reduziert die Stärke des Konsumierenden.	바바리안들이 그들의 고향에서 수련할 때 마신다는 특제 약물입니다. 의도적으로 마신 사람의 힘을 저하시킵니다.
ITEM_20151022_008360	Ashurong-Speck	아슈롱의 기름덩어리
ITEM_20151022_008361	Das fettige Fleisch eines Ashurong.	아슈롱의 몸에 기름이 모여 생긴 기름진 살덩이입니다.
ITEM_20151022_008362	Altes Heiliges Objekt	오래된 성물
ITEM_20151022_008363	Ein altes Halsband, das auf den verlassenen Altar am Weg der Hungernden Dämonen reagiert.	큰아귀 길의 버려진 제단에 반응시킬 수 있다고 하는 낡은 목걸이입니다.
ITEM_20151102_008364	Bogen [Geschoss]	활[미사일]
ITEM_20151102_008365	Armbrust [Geschoss]	쇠뇌[미사일]
ITEM_20151102_008366	Ein modifizierter, einhändiger Esponton-Speer.	에스폰툰의 개량형 한손창입니다.
ITEM_20151102_008367	Pistole [Geschoss]	권총[미사일]
ITEM_20151102_008368	Kanone 2	캐논2
ITEM_20151102_008369	Kanone 3	캐논3
ITEM_20151102_008370	Kanone 4	캐논4
ITEM_20151102_008371	Kanone 5	캐논5
ITEM_20151102_008372	Muskete	머스킷
ITEM_20151102_008373	Muskete [Geschoss]	머스킷[미사일]
ITEM_20151102_008374	Muskete 2	머스킷2
ITEM_20151102_008375	Leichter als andere Rüstungen mit vergleichbarer Abwehr.	비슷한 방어력의 갑옷에 비해 가벼운 편입니다.
ITEM_20151102_008376	Pestarztkostüm	플레이그닥터 코스튬
ITEM_20151102_008377	Eispickel	송곳
ITEM_20151102_008378	Knochenmesser	뼈 단도
ITEM_20151102_008379	Farbstoff: Schwarz	염색약:검정
ITEM_20151102_008380	Färbt deine Haare schwarz.{nl}Mit Rechtsklick aktivieren.	검은색 헤어컬러를 획득합니다. 마우스 오른쪽 클릭으로 사용합니다.
ITEM_20151102_008381	Farbstoff: Blau	염색약:파랑
ITEM_20151102_008382	Färbt deine Haare blau.{nl}Mit Rechtsklick aktivieren.	파란색 헤어컬러를 획득합니다. 마우스 오른쪽 클릭으로 사용합니다.
ITEM_20151102_008383	Farbstoff: Weiß	염색약:하양
ITEM_20151102_008384	Färbt deine Haare weiß.{nl}Mit Rechtsklick aktivieren.	하얀색 헤어컬러를 획득합니다. 마우스 오른쪽 클릭으로 사용합니다.
ITEM_20151102_008385	Farbstoff: Pink	염색약:분홍
ITEM_20151102_008386	Färbt deine Haare pink.{nl}Mit Rechtsklick aktivieren.	분홍색 헤어컬러를 획득합니다. 마우스 오른쪽 클릭으로 사용합니다.
ITEM_20151102_008387	Holhen-Leder wird zur Herstellung spezieller Ausrüstung benutzt, da es sehr magieaffin ist.{nl}Stammt von Holhen.	호헨 가죽은 마법과의 친화력이 강해 특수한 장비를 만들때 이용합니다. 호헨에게서 획득합니다.
ITEM_20151102_008388	Namott-Weihwasser	나모트 성수
ITEM_20151102_008389	Namott der Läuterung	정화의 나모트
ITEM_20151102_008390	Ein Namott, das böse Energien läutern kann.	마기를 정화하는 힘이 있는 나모트.
ITEM_20151102_008391	Namott der Unterdrückung	억제의 나모트
ITEM_20151102_008392	Ein heiliges Namott, das aus heiligen Letas-Zweigen hergestellt wurde. Es strahlt große Macht aus, wenn es nahe des Letas-Baches ist.	레타스의 신성한 나뭇가지로 만든 신성한 나모트. 레타스 개울가에서라면 아주 강력한 힘을 발휘한다.
ITEM_20151102_008393	Nicht schmelzendes magisches Eisstück	녹지 않는 마력의 얼음 조각
ITEM_20151102_008394	Ein Eisstück, das aufgrund seiner magischen Energie nie schmilzt. Es kann magische Energie speichern.	마법의 힘으로 녹지 않고 보존되고 있는 얼음 조각. 마력을 보존하는 힘이 있다.
ITEM_20151102_008395	Konzentrierter Feuerstein	응축된 화염석
ITEM_20151102_008396	Ein geheimnisvoller Stein, der die Macht des Feuers einfangen kann.	불의 기운을 응집할 수 있는 신기한 돌.
ITEM_20151102_008397	Frostfoliant	냉기의 마법서
ITEM_20151102_008398	Ein magischer Foliant, der den Frostwiderstand reduziert.	냉기에 대한 저항을 낮추는 마법이 걸려있는 마법서.
ITEM_20151102_008399	Telekineseschriftrolle	염력 스크롤
ITEM_20151102_008400	Eine Schriftrolle, die dem Benutzer ermöglicht, Telekinese zu verwenden, ohne selbst ein Psychokinet zu sein.	사이코키노가 아니어도 어느정도 염력을 사용할 수 있게 해주는 스크롤.
ITEM_20151102_008401	Stein zur Mauerinstandsetzung	성벽복구용 석재
ITEM_20151102_008402	Steinmaterial zum Bau oder zur Reparatur von Steinmauern.	성벽을 제작하거나 보수할 때 알맞은 석재.
ITEM_20151102_008403	Moderige Flüssigkeit	괴성장한 진액
ITEM_20151102_008404	Eine Flüssigkeit, die von überwachsenen Pflanzenmonstern stammt.	괴성장한 식물형 몬스터에게서 얻을 수 있는 진액.
ITEM_20151102_008405	Forschungsmaterial: Robuste Barrikade	단단한 방책의 연구재료
ITEM_20151102_008406	Ein sehr robustes Holz. Es ist unklar, ob es zu irgendetwas gut ist.	아주 단단한 목재. 실제로 써먹을 수 있을지는 알 수 없다.
ITEM_20151102_008407	Magiekontrolle-Detektorkugel	마력제어 감지구
ITEM_20151102_008408	Eine Kugel, die den Fluss magischer Energie erkennen kann.	마력의 흐름을 감지할 수 있는 구슬.
ITEM_20151102_008409	Seelenphiole	영혼의 플라스크
ITEM_20151102_008410	Eine Phiole, in der man spirituelle Kräfte verwahren kann.	영적 기운을 모아 가둘 수 있는 플라스크.
ITEM_20151102_008411	Bombenmaterial, nach dem der Pionier-Meisteranwärter sucht. Es ist unklar, ob man daraus wirklich Bomben basteln kann.	새퍼 서브 마스터가 원하는 폭탄의 재료. 실제로 폭탄으로 쓸 수 있을지는 알 수 없다.
ITEM_20151102_008412	Jägerausweis	헌터의 시험증표
ITEM_20151102_008413	Ein Symbol, das anzeigt, dass du die Jägerprüfung bestanden hast.	헌터의 시험을 통과했다는 증거.
ITEM_20151102_008414	Wugushi-Gift	무고사의 시독
ITEM_20151102_008415	Gift, das beim Verfall einer Leiche entsteht.	시체에서 생긴 독.
ITEM_20151102_008416	Kristall der Verdrehten Seelen	일그러진 영혼의 결정
ITEM_20151102_008417	Ein Kristall, der durch die Verschmelzung von einem Monster mit einer unzufriedenen Seele entstand.	원한을 가진 영혼이 몬스터와 융합해서 생긴 결정.
ITEM_20151102_008418	Scherbe der Chaotischen Gefühle	혼란스러운 감정의 파편
ITEM_20151102_008419	Eine Scherbe, die durch die Verschmelzung von einem Monster mit der Seele eines Verstorbenen entstand.	죽은 자의 영혼이 몬스터와 융합해서 생긴 파편.
ITEM_20151102_008420	Wugushis Topf	무고사의 항아리
ITEM_20151102_008421	Ein Topf, in dem man ein Monster gefangen halten kann.	몬스터를 잡아 둘 수 있는 항아리.
ITEM_20151102_008422	Späheraufzeichnungen	스카우트의 기록서
ITEM_20151102_008423	Späheraufzeichnungen aus Aufklärungsmissionen.	스카우트들이 정찰임무에 사용하는 정찰 기록서.
ITEM_20151102_008424	Eine Creme aus Blättern, die Siedler Brophen an Siedlerin Leyla geschickt hat.	이주민 브로펜이 이주민 레일라에게 전달해달라고 부탁한 풀 잎으로 만든 연고입니다
ITEM_20151102_008425	Siedlerin Izna sagte, dass man diese leicht roten Blätter benötigt, um eine Wundsalbe herzustellen.	이주민 이즈나가 상처에 잘 듣는 약을 만들어주기 위해 필요하다면서 요청한 붉은끼가 옅게 도는 잎사귀 입니다
ITEM_20151102_008426	Siedlerin Izna sagte, dass man diesen Monsterschleim, der nur im Lemprasa-Teich zu finden ist, benötigt, um eine Verjüngungsarznei herzustellen.	이주민 이즈나가 피로회복제의 재료로 사용하기 위해 수집해달라고 부탁한 렘파라사 연못에서만 구할 수 있는 몬스터의 점액입니다
ITEM_20151102_008427	Von den Anwohnern am Lemprasa-Teich zurückgelassene Dinge, um die Siedler Ivanayus gebeten hat.	이주민 이바나유가 부탁한 렘파라사 연못 원주민들이 놓고간 물건입니다
ITEM_20151102_008428	Eine einseitige Notiz von Priesterin Irma, die von Agentin Cherasia angefordert wurde.	정보원 체라시아가 부탁한 사제 이르마가 남긴 쪽지의 낱장입니다.
ITEM_20151102_008429	Notizen von Priesterin Irma, die Agentin Cherasia gebündelt und übergeben hat.	정보원 체라시아가 묶어준 사제 이르마의 쪽지 더미입니다.
ITEM_20151102_008430	Der Rest eines verbrannten Papiers, auf dem die Aufzeichnungen der Brüder stehen. Agent Moren hat darum gebeten.	정보원 모렌이 부탁한 사제들의 기록이 담긴 반쯤 타버린 종이 입니다.
ITEM_20151102_008431	Aufzeichnungen von Bischof Urbonas, die im Wald der verbundenen Brücken gefunden wurden.	덧댄다리 숲에서 찾은 주교 우르보나스의 기록입니다.
ITEM_20151102_008432	Ein Feuerstein, den dir Agent Pierneef gegeben hat, damit du den Wagen verbrennen kannst.	정보원 페르니프가 수레를 태울때 쓰라며 건내준 부싯돌입니다.
ITEM_20151102_008433	Ein Monsterköder, den Verfolger Germeja aus seiner Heimatstadt mitgebracht hat.	추적자 게르메이야가 고향에서 가져온 몬스터 유인제입니다.
ITEM_20151102_008434	Eine Notiz von Priesterin Gelija, die bei einem Monster am Eingang der Paupys-Kreuzung gefunden wurde.	파우피스 나루 초입에서 몬스터들에게서 찾아낸 사제 겔리야의 쪽지 입니다
ITEM_20151102_008435	Happys Hundepfeife	잘리의 호루라기
ITEM_20151102_008436	Eine Pfeife, die du dir von Agentin Larena geborgt hast, damit du den Hund Happy herbeirufen kann, um den sich die Priester kümmern.	정보원 라레나가 사제들이 키우던 강아지 잘리를 호출할 수 있도록 빌려준 호루라기 입니다
ITEM_20151102_008437	Bischof Urbonas' Spur, um die Priester Pranas gebeten hatte.	사제 프라나스가 부탁한 주교 우르보나스의 흔적입니다
ITEM_20151102_008438	Das Blut eines verseuchten Monsters. Agent Noah hat darum gebeten.	정보원 노토레스가 부탁한 오염된 몬스터의 피 입니다.
ITEM_20151102_008439	Die Habseligkeiten von Agenten und Fährtenlesern, um die Verfolger Zegaus gebeten hat.	추적자 제가우스가 부탁한 정보원과 추적자들의 짐입니다.
ITEM_20151102_008440	Ein roter Edelstein, um den Verfolger Torvald gebeten hat.	추적자 토르바나가 부탁한 붉은색 결정입니다
ITEM_20151102_008441	Ein schwarzes Holzfragment von Dämonen, um das Verfolger Torvald gebeten hat.	추적자 토르바나가 부탁한 마족에게서 얻은 검은 색 나무 조각입니다.
ITEM_20151102_008442	Ein Paket, das die Dämonen bei sich trugen. Verfolger Daran hat dich gebeten, es zu finden und überprüfen.	추적자 다라마우스가 수집과 확인을 요청한 마족들이 지니고 있던 꾸러미입니다
ITEM_20151102_008443	Ein instabiler Zauberstein, der von der Statue von Marnox zu stammen scheint.	마르녹스의 우상에서 떨어져나온 것으로 보이는 불안정한 마석 입니다
ITEM_20151102_008444	Ein glitzerndes Perlenpulver, das Priester Auranas zubereitet hat. Wenn man dieses Pulver an einem Ort sammelt, kann man daraus eine wertvolle Perlenkugel herstellen.	사제 아우라나스가 준비해둔 반짝이는 진주 가루 입니다. 진주가루를 한 데 모으면 진주로 만든 보주를 만들 수 있습니다
ITEM_20151102_008445	Eine wertvolle Perlenkugel, die Priester Auranas hergestellt und dir gegeben hat.	반짝이는 진주 가루를 이용하여 사제 아우라나스가 만들어준 보주 입니다.
ITEM_20151102_008446	Ein Foliant mit Geboten der Dämonen, für den der Bischof und die Priester hart gekämpft haben.	주교와 사제들이 목숨을 걸고 지켜낸 마족의 지령서입니다.
ITEM_20151102_008447	Eine Tasche, die den Priestern gehörte, die in den Tiefen des Ashaq-Untergrundgefängnisses verschwunden sind.	아샤크 지하 감옥에서 행방불명된 사제들의 가방입니다.
ITEM_20151102_008448	Verbandsmull, der in Weihwasser getränkt wurde. Du hast ihn dir von Priesterin Gelija geliehen, um das Fragment der Marnox-Statue zu vernichten.	사제 겔리야가 마르녹스의 우상 파편을 제거하기 위해 빌려준 성수에 장시간 담궈두었던 붕대입니다.
ITEM_20151102_008449	Das erste Skulpturfragment. Namott-Muster sind darin eingraviert.	나모트 문양이 새겨진 첫 번째 조각.
ITEM_20151102_008450	Das zweite Skulpturfragment. Namott-Muster sind darin eingraviert.	나모트 문양이 새겨진 두 번째 조각.
ITEM_20151102_008451	Das dritte Skulpturfragment. Namott-Muster sind darin eingraviert.	나모트 문양이 새겨진 세 번째 조각.
ITEM_20151102_008452	Das vierte Skulpturfragment. Namott-Muster sind darin eingraviert.	나모트 문양이 새겨진 네 번째 조각.
ITEM_20151102_008453	Grüninfrohalter-Ei	초록 인프로홀더의 알
ITEM_20151102_008454	: Essenz	XX의 정수
ITEM_20151102_008455	Andenken eines Experimentopfers	실험피해자의 유품
ITEM_20151102_008456	Rucksack	배낭
ITEM_20151102_008457	Rucksack eines Experimentopfers	실험피해자의 배낭
ITEM_20151102_008458	Beschriebener Stoff	글자가 적힌 천
ITEM_20151102_008459	Fragment eines heiligen Relikts	성물 파편
ITEM_20151102_008460	Schwarzer Edelstein	검은 보석
ITEM_20151102_008461	Edelstein	결정
ITEM_20151102_008462	Dämonenessenz	마족의 정수
ITEM_20151102_008463	Experimentnotizbuch, Kapitel 1	실험 일지 1장
ITEM_20151102_008464	Ein von einem geheimnisvollen Magier erschaffenes Experimentnotizbuch.	의문의 마법사가 작성한 실험 일지
ITEM_20151102_008465	Experimentnotizbuch, Kapitel 2	실험 일지 2장
ITEM_20151102_008466	Experimentnotizbuch, Kapitel 3	실험 일지 3장
ITEM_20151102_008467	Schutzbarrierekristall	보호 결계 수정
ITEM_20151102_008468	Ein Kristall, den die Zauberkundigen-Meisteranwärterin für Rosas Geschwister angefertigt hat.	위자드 서브 마스터가 로제 남매를 위해서 만든 수정
ITEM_20151102_008469	Verseuchtes rotes Wasser aus dem Brunnen	우물에서 뜬 붉은 물
ITEM_20151102_008470	Verseuchtes Wasser, das aus einem alten Brunnen geholt wurde. Man sollte es NICHT trinken, es sei denn, man mag Bauchschmerzen.	낡은 우물에서 뜬 붉은 물. 마시면 고통에 시달리게 된다고 합니다.
ITEM_20151102_008471	Widas' Statue	위다스의 조각상
ITEM_20151102_008472	Eine von Dievdirbys Widas geschaffene Statue. Sie beruhigt die Frettchen in ihrer Umgebung.	딥디르비 위다스가 만든 조각상. 설치하면 주위 페릿들이 온순해진다고 한다.
ITEM_20151102_008473	Beutel mit Schlafkrautweihrauch	몽롱초 향 주머니
ITEM_20151102_008474	Ein von Druidin Leja hergestellter Beutel mit Schlafkrautweihrauch. Er beruhigt die Frettchen in seiner Umgebung.	드루이드 레야가 몽롱초로 만들어준 향 주머니. 터뜨리면 주위 페릿이 정신을 못차린다고 합니다.
ITEM_20151102_008475	Fell eines Monsterhase-Assassinen	레푸스버니 암살자의 털가죽
ITEM_20151102_008476	Das Fell eines Grünmonsterhase-Assassinen. Ähnelt dem eines gewöhnlichen Monsterhasen, speichert aber länger die Hitze.	초록 레푸스버니 암살자의 털가죽. 일반 레푸스버니의 것과 같아 보이지만 보온성에서 차이가 있는 모양입니다.
ITEM_20151102_008477	Siaulav-Magier-Notration	샤울라브 메이지의 비상식량
ITEM_20151102_008478	Von den stets auf alles vorbereiteten Siaulav-Magiern mitgeführte Notration.	준비성많은 샤울라브 메이지들이 종족을 위해 챙겨다니는 비상식량입니다.
ITEM_20151102_008479	Blaulapasape-Pilz	푸른 라프세이프의 버섯
ITEM_20151102_008480	Trockenes Holz	젖지 않은 목재
ITEM_20151102_008481	Siegeszähler	전투 확인용 카운터
ITEM_20151102_008482	Ein magischer Gegenstand, der mitzählt, wie viele Gegner du bereits besiegt hast. Wird während der Peltasta-Untersuchung eingesetzt.	자신이 전투로 쓰러뜨린 적을 체크하는 마법 아이템. 펠타스타 승급시험을 통과하기 위해 쓰입니다.
ITEM_20151102_008483	Speerfragmente der Hopliten	하플라이트들의 부러진 창 조각
ITEM_20151102_008484	Rüstungsfragmente der Hopliten	하플라이트들의 부서진 갑옷
ITEM_20151102_008485	Überreste von Rüstungen, die in Kämpfen unter den Hopliten abgebrochen sind.	다른 하플라이트들이 격전을 치르다 부서져버린 갑옷의 잔해들입니다.
ITEM_20151102_008486	Eine Spezialarznei, die Barbaren während ihrer Ausbildung in ihrer Heimatstadt trinken. Reduziert die Stärke des Konsumierenden. Der Effekt kann manuell ausgeschaltet werden.	바바리안들이 그들의 고향에서 수련할 때 마신다는 특제 약물입니다. 의도적으로 마신 사람의 힘을 저하시킵니다. 약화효과는 임의로 해제가능합니다.
ITEM_20151102_008487	Verdächtige runde Metall-/Holz-/Steinscheibe	수상한 원판
ITEM_20151102_008488	Eine verdächtig aussehende große, runde Scheibe. Unter bestimmten Voraussetzungen soll sie angeblich rot aufleuchten.	수상해보이는 원판. 특정 조건이 만족되면 붉은 빛이 나타난다고 한다.
ITEM_20151102_008489	Rote Scherbe aus einem See	호수의 붉은 조각
ITEM_20151102_008490	Eine kleine Scherbe, die ein rotes Licht ausstrahlt. Ihre Herkunft ist unbekannt.	정체를 알수 없는 붉게 빛나는 작은 조각입니다.
ITEM_20151102_008491	Käferbienenfleisch	체이퍼러의 고기
ITEM_20151102_008492	Seeopfer	호수의 공물
ITEM_20151102_008493	Halb verbranntes Tagebuch aus einem See	호수의 타다만 일지
ITEM_20151102_008494	Ein halb verbranntes Tagebuch. Es ist kaum noch zu entziffern.	불에 타다만 일지입니다. 부분 부분 타버려서 읽기가 어렵습니다.
ITEM_20151102_008495	Notizen zum Tagebuch der Enkelin	손녀가 작성한 일지의 메모
ITEM_20151102_008496	Eine Sammlung von Notizen mit Aufzeichnungen aus dem halb verbrannten Tagebuch. "X. Experiment erfolgreich, ---- verseucht das Wasser ohne Probleme. Werde weiterhin das Wachstum des riesigen Obstwaldes beobachten. Zusätzlich muss ich nach einem Schutz für ---- suchen."	타다만 일지에서 읽을 수 있는 부분만 모아둔 메모입니다. "X차 실험성공, ----는 순조롭게 물을 오염시키고 있다. 이대로 거대과일 숲의 결과를 지켜본다. 추가적으로 ----의 보호 수단이 필요하다."
ITEM_20151102_008497	Halb verbranntes Gemälde	호수의 타다만 삽화
ITEM_20151102_008498	Ein halb verbranntes Gemälde. Außer dem Gemälde scheint alles komplett verbrannt zu sein. Auf dem Gemälde sind ein roter Edelstein und eine Hydra, in deren Körper er steckt, zu sehen.	불에 타다만 삽화입니다. 삽화를 제외하고 모두 타버린 것 같습니다. 삽화에는 붉은 수정과 붉은 수정이 몸에 박혀있는 히드라가 그려져 있습니다.
ITEM_20151102_008499	Blaues Seekraut	호수의 푸른 향초
ITEM_20151102_008500	Ein blaues Kraut mit einem sonderbaren Duft, das um den See herum wächst. Wird vermutlich auf Köder geschmiert, damit diese nicht länger nach Mensch riechen.	독특한 향을 가진 이 호수에서 자라는 풀입니다. 미끼에 사람 냄세를 지우는데 쓰려는 것 같습니다.
ITEM_20151102_008501	Seefleisch	호수 고기
ITEM_20151102_008502	Das Fleisch eines Monsters. Wird als Köder für die Hydra eingesetzt.	몬스터의 고기입니다. 히드라가 좋아하는 음식으로 미끼의 재료입니다.
ITEM_20151102_008503	Gelbes Seekraut	호수의 노란 약초
ITEM_20151102_008504	Ein gelbes Kraut, das um den See herum wächst. Lindert Schmerzen.	호수에서 나는 노란 약초입니다. 고통을 완화시켜줍니다.
ITEM_20151102_008505	Spezialöl vom See	호수의 특제 기름
ITEM_20151102_008506	Ein aus Fett gewonnenes Öl.	지방으로 만든 기름입니다.
ITEM_20151102_008507	Käferbienenspeck	체이퍼러의 지방덩어리
ITEM_20151102_008508	Monsterspeck. Es kann Öl daraus gewonnen werden.	몬스터의 지방덩어리입니다. 기름의 재료로 쓸 수 있을 것 같습니다.
ITEM_20151102_008509	Spezieller Tyronas-Hydraköder	티로나스 히드라용 특제 미끼
ITEM_20151102_008510	Vollständiger Köder. Lieblingsspeise der Tyronas-Hydra.	완성된 미끼. 티로나스 히드라가 매우 좋아한다고 한다.
ITEM_20151102_008511	Sack mit Opfergaben	공물이 든 주머니
ITEM_20151102_008512	Magiekompass	마력 검색 나침반
ITEM_20151102_008513	Zeigt an, wo in der Nähe sich Magie ansammelt.	근처 마력이 모이는 지점을 찾아낼 수 있습니다.
ITEM_20151102_008514	Leere magische Kugel	텅 빈 마력 구슬
ITEM_20151102_008515	Eine von Michael überreichte Kristallkugel. Sammelt Magie, wenn du damit Monster angreifst.	미하일이 건네 준 수정구. 몬스터를 공격해 마력을 모을 수 있다고 합니다.
ITEM_20151102_008516	Voll aufgeladene magische Kugel	충만한 마력 구슬
ITEM_20151102_008517	Eine Kristallkugel, die vor lauter Magie fast überfließt. Michael will sie als Bombe einsetzen.	마력이 가득찬 수정구. 미하일은 이것을 폭탄 대용으로 사용할 생각입니다.
ITEM_20151102_008518	Amulett des Magiebanns	마력 소멸 어뮬렛
ITEM_20151102_008519	Ein von Melchioras gefertigter Talisman. Kann Zauber bannen, indem er die magische Energie aus einem Artefakt saugt.	멜히오라스가 준비한부적입니다. 아티팩트의 마력을 소멸시켜 주문을 해제할 수 있다고 합니다.
ITEM_20151102_008520	Sammlung magischer Kugeln	마력 구슬 뭉치
ITEM_20151102_008521	Von allen in Zusammenarbeit mit Michael und seinen Freunden gesammelte magische Kugeln.	미하일 일행과 협력하여 각기 모은 마력 구슬들입니다.
ITEM_20151102_008522	Nie verschickte Briefe	보내지지 못한 편지들
ITEM_20151102_008523	Briefe der Bewohner von Schlossfeld, die vor deren Verschwinden nicht mehr versandt wurden.	캐슬필드 주민이 사라지기 전 채 부치지 못한 서신입니다.
ITEM_20151102_008524	Brauchbarer Pfeil	쓸만한 화살
ITEM_20151102_008525	Bereits benutzter aber noch brauchbarer Pfeil.	한 번 사용되었지만 아직 쓸만해 보입니다.
ITEM_20151224_008526	Gründer-Armbinde	태초의 구원자 암밴드
ITEM_20151224_008527	Häuptlingsarmbinde	치프 암밴드
ITEM_20151224_008528	Silberarmbinde	실버 암밴드
ITEM_20151224_008529	Diamantarmbinde	다이아 암밴드
ITEM_20151224_008530	Alkoholverzierungsarmbinde	술 장식 암밴드
ITEM_20151224_008531	Schamanenarmbinde	샤먼 암밴드
ITEM_20151224_008532	Orientarmbinde	오리엔트 암밴드
ITEM_20151224_008533	Goldarmbinde	골든 암밴드
ITEM_20151224_008534	Blattmusterarmbinde	잎사귀 무늬 암밴드
ITEM_20151224_008535	Libellenarmbinde	잠자리 암밴드
ITEM_20151224_008536	Emotionsarmbinde	느낌있는 암밴드
ITEM_20151224_008537	Keine_Haare	없음_hair
ITEM_20151224_008538	Terius	테리우스
ITEM_20151224_008539	Frisur [Männer]	헤어[남성]
ITEM_20151224_008540	Wenn du dies trägst, ändert sich deine Frisur.	착용 시 헤어가 변경됩니다.
ITEM_20151224_008541	Welliger Kurzhaarschnitt	댄디 웨이브컬
ITEM_20151224_008542	Wellige Zöpfe	볼륨웨이브 트윈테일
ITEM_20151224_008543	Frisur [Frauen]	헤어[여성]
ITEM_20151224_008544	Wellige Langhaarfrisur	볼륨웨이브
ITEM_20151224_008545	Koperon-Schwert	코페론 소드
ITEM_20151224_008546	Überragendes Koperon-Schwert	슈페리어 코페론 소드
ITEM_20151224_008547	Schattenschwert	암흑검
ITEM_20151224_008548	Falchion des Soldaten	병사의 폴쳔
ITEM_20151224_008549	Haischnitter	샤크 커터
