QUEST_UNUSED_20150317_000001	A ha, you're on your way to see Master Pardoner. I wish you luck.
QUEST_UNUSED_20151016_000842	Er bereut es, dass er auf dem Horn nicht zum Rückzug geblasen hat. Blase auf dem Horn und lass andere Geister von dem Geist wissen.
QUEST_UNUSED_20151016_000843	Du hast auf dem Horn geblasen und den Rückzug befohlen. Erzähle dem Geist des Armeesoldaten Ruklys davon.
QUEST_UNUSED_20151016_000844	Mit Siedler Browein sprechen
QUEST_UNUSED_20151016_000845	Mit Siedler Browein am Lemprasa-Teich sprechen
QUEST_UNUSED_20151016_000846	Mit Siedler Brophen sprechen
QUEST_UNUSED_20151016_000847	Mit Siedler Brophen sprechen
QUEST_UNUSED_20151016_000848	Einen Statuspunkt benutzen
QUEST_UNUSED_20151016_000849	F1 drücken, um einen Statuspunkt zu benutzen
QUEST_UNUSED_20151016_000850	Grashalmsalbe geben
QUEST_UNUSED_20151016_000851	Siedler Brophen hat dich gebeten, Siedlerin Laila Grashalmsalbe zu geben.
QUEST_UNUSED_20151016_000852	Mit Bürgermeister Romanas sprechen
QUEST_UNUSED_20151016_000853	Bürgermeister Romanas wartet auf dich.
QUEST_UNUSED_20151016_000854	Mit Offizier Lutas sprechen
QUEST_UNUSED_20151016_000855	Mit Offizier Lutas am Zugang zum Lemprasa-Teich sprechen
QUEST_UNUSED_20151016_000856	Mit Offizier Lutas sprechen
QUEST_UNUSED_20151016_000857	Den angreifenden Monsteranführer besiegen
QUEST_UNUSED_20151016_000858	Den angreifenden Monsteranführer besiegen
QUEST_UNUSED_20151016_000859	Nach Orsha gehen
QUEST_UNUSED_20151016_000860	Nach Orsha gehen
QUEST_UNUSED_20151016_000861	Mit Inesa Hamontal sprechen
QUEST_UNUSED_20151016_000862	Mit dem Fürst von Orsha, Inesa Hamontal, sprechen
QUEST_UNUSED_20151016_000863	Mit Siedlerin Izna sprechen
QUEST_UNUSED_20151016_000864	Mit Siedlerin Izna sprechen
QUEST_UNUSED_20151016_000865	Hellrote Blätter sammeln
QUEST_UNUSED_20151016_000866	Siedlerin Izna hat dich gebeten, Monster in der Nähe zu besiegen und rote Blätter zu sammeln.
QUEST_UNUSED_20151016_000867	Hellrote Blätter besorgen
QUEST_UNUSED_20151016_000868	Ramparschleim sammeln
QUEST_UNUSED_20151016_000869	Siedlerin Izna hat dich gebeten, Ramparschleim zu sammeln.
QUEST_UNUSED_20151016_000870	Den Siedlern im Wald den Weg weisen
QUEST_UNUSED_20151016_000871	Wegen eines riesigen Monsters waren die Bewohner im Norden von anderen Regionen abgeschnitten. Siedlerin Izna hat dich gebeten, ein Feuer zu entfachen, um ihnen zu helfen.
QUEST_UNUSED_20151016_000872	Das letzte Feuer entfachen
QUEST_UNUSED_20151016_000873	Siedlerin Izna hat dich gebeten, ein großes Feuer zu entfachen, das die Bewohner über weite Distanz sehen können.
QUEST_UNUSED_20151016_000874	Mit Siedler Ivanayus sprechen
QUEST_UNUSED_20151016_000875	Mit Siedler Ivanayus sprechen
QUEST_UNUSED_20151016_000876	Nützliche Objekte sammeln
QUEST_UNUSED_20151016_000877	Siedler Ivanayus möchte, dass du nützliche Objekte von Einheimischen sammelst, die von den Siedlern benutzt werden können.
QUEST_UNUSED_20151016_000878	Mit Siedler Dallanas sprechen
QUEST_UNUSED_20151016_000879	Mit Siedler Dallanas sprechen
QUEST_UNUSED_20151016_000880	Die Statue der Göttin Zemyna anbeten
QUEST_UNUSED_20151016_000881	Siedler Dallanas möchte deine Erkundungen segnen und hat dich gebeten, an der Statue der Göttin Zemyna zu beten, um ihren Segen zu erhalten.
QUEST_UNUSED_20151016_000882	Die Siedler mitbringen
QUEST_UNUSED_20151016_000883	Siedler Dallanas hat dich gebeten, die über das ganze Gebiet verteilten Siedler mitzubringen.
QUEST_UNUSED_20151022_000884	Can you hand over the records to Wilhelmina?{nl}She told me that she will help us break Gargoyle so don't forget to get something from her when you return.
QUEST_UNUSED_20151022_000885	Mardas
QUEST_UNUSED_20151022_000886	Ah... a human in this place...{nl}There are demons here. You better run away.{nl}A while ago, demons appeared from up there and are controlling the monsters.
QUEST_UNUSED_20151022_000887	Are you insane?{nl}I don't know how strong you are, but I will stay here so if you want to go, please go alone.{nl}The place where I saw demons was the place where the owl sculpture is located..
QUEST_UNUSED_20151022_000888	I've been chased by demons and ran here from the castle.{nl}I don't want to experience any more troubles.
QUEST_UNUSED_20151022_000889	No demons were there and only other monsters?{nl}That's fortunate I guess.{nl}
QUEST_UNUSED_20151022_000890	You're stronger than you look.{nl}I wasn't expecting that.
QUEST_UNUSED_20151022_000891	Please come back to me when you fix the detector.{nl}I have something to tell you.
QUEST_UNUSED_20151022_000892	I am going to guide each and every one of you with sincerity.{nl}I hope the road ahead of you is full of blessings.
QUEST_UNUSED_20151022_000893	It doesn't matter anymore.{nl}I just want to take a break...
QUEST_UNUSED_20151022_000894	[Ordeal of Cleros]
QUEST_UNUSED_20151022_000895	The sun of gold ray, the moon of silver ray and the land of bronze ray.{nl}What is your number.{nl}
QUEST_UNUSED_20151022_000896	It seems you don't know anything about our merchants.{nl}
QUEST_UNUSED_20151022_000897	Hmm, have you ever seen the Great Cathedral or Mage Tower before?{nl}Or something like the gigantic Goddess Statue of Fedimian?{nl}
QUEST_UNUSED_20151022_000898	Do you think a large construction like that can be completed by one individual?{nl}Of course not. It's hard to supply such materials even if the kingdom comes first.
QUEST_UNUSED_20151022_000899	We are the merchants that supplied materials to the historic construction.{nl}Do you understand now?{nl}
QUEST_UNUSED_20151022_000900	We helped for the completion of it.{nl}The objective of our merchants is the will of the goddesses.{nl}
QUEST_UNUSED_20151022_000901	Ah, I am in charge of newcomers of Kedora Merchant Alliance.{nl}We've received severe damages on Medzio Diena so even the newcomers are trying their best to restore the place.{nl}
QUEST_UNUSED_20151022_000902	We are in a trouble.{nl}We have to put up a notice board, but we're just too busy.{nl}
QUEST_UNUSED_20151022_000903	The Kedora Merchant Alliance act harsh on newcomers.{nl}Especially Leopoldas, he's really scary... He wants me to do this alone.
QUEST_UNUSED_20151022_000904	If that's so, can you place this notice board on Kluibe Road?{nl}Edita, our leader, is excavating this sacred object.{nl}
QUEST_UNUSED_20151022_000905	I am counting on you to do this secretly without being detected by Leopoldas.{nl}I have to go somewhere.
QUEST_UNUSED_20151022_000906	I am counting on you to do this secretly without being detected by Leopoldas.{nl}For sure.
QUEST_UNUSED_20151022_000907	I am helping the Revelators who have just started their journeys from the Kedora Merchant Alliance.{nl}If you don't mind, can you help us?
QUEST_UNUSED_20151022_000908	It's not that difficult.{nl}You just have to pass the blessing which is needed for their journeys.
QUEST_UNUSED_20151022_000909	Thank you.{nl}Then, I will tell you how you can do it.{nl}
QUEST_UNUSED_20151022_000910	Please look for the Revelators who have started their journeys around Orsha or Klaipeda.{nl}When you use this scroll on them, they will receive a helpful blessing for their journeys.
QUEST_UNUSED_20151022_000911	Ah, it won't be effective to ones who have already been blessed, so please keep that in mind.
QUEST_UNUSED_20151022_000912	We can't just rely on the goddess.{nl}We should do it ourselves in order to reduce the burden on the goddesses.
QUEST_UNUSED_20151022_000913	We, Kedora Merchant Alliance helped the goddesses secretly until now.{nl}But, since the world turned into a chaos, we are going to help her actively.
QUEST_UNUSED_20151022_000914	We are in trouble...{nl}There are so many things to retrieve, but I don't know what people are doing.
QUEST_UNUSED_20151022_000915	Ah, so Leopoldas sent you here?{nl}Finally, it seems he has stopped being so stubborn.{nl}
QUEST_UNUSED_20151022_000916	A long time ago, I was sending the sacred objects to Fedimian.{nl}But, I didn't realise it was on Medzio Diena.{nl}
QUEST_UNUSED_20151022_000917	It was such a mess.{nl}They took care of urgent matters in other regions and they now came out to retrieve the sacred objects.{nl}
QUEST_UNUSED_20151022_000918	Okay, let's stop complaining. I want you to retrieve the sacred objects from Goanar Path.{nl}I believe that they are buried deep in the ground.{nl}
QUEST_UNUSED_20151022_000919	Ah, and there are many monsters around that threaten us merchants.{nl}If it's alright with you, I want you to defeat them as well.
QUEST_UNUSED_20151022_000920	Be careful since there are many monsters around there.{nl}If there weren't any monsters, our task would not have been completed this late.
QUEST_UNUSED_20151022_000921	Leopoldas never asks anyone for help.{nl}I never knew that you were this good.
QUEST_UNUSED_20151022_000922	Actually, we received a strange report.{nl}The monsters at Kluibe Road are digging only one spot.
QUEST_UNUSED_20151022_000923	I think what they are looking for is one of our Merchants' object.{nl}And it would take some time until the retrieval group reaches here.
QUEST_UNUSED_20151022_000924	Is it the sacred object?{nl}It's been such a long time so I can't think of anything else.
QUEST_UNUSED_20151022_000925	Those are the records from the merchants.{nl}They are badly torn.{nl}
QUEST_UNUSED_20151022_000926	I am sure the monsters created this mess.{nl}Give it to me.
QUEST_UNUSED_20151022_000927	Let's see.{nl}It is about..{nl}
QUEST_UNUSED_20151022_000928	This is the book about the materials for the arrow.{nl}Long time ago, they were supplied to Lydia Schaffen and the first Fletcher Master.{nl}
QUEST_UNUSED_20151022_000929	I thought it was the sacred object that was lost long ago, it's an unexpected gift.{nl}It is said that the arrow of Lydia Schaffen has some special power in it.{nl}
QUEST_UNUSED_20151022_000930	It is hard to restore it myself.. {nl}I should put it somewhere in the safe place and restore it when I go back to the headquarter.
QUEST_UNUSED_20151022_000931	The remaining spot should be somewhere around Juikas Field.. but, I have no idea where it is exactly.{nl}If it's alright with you, could you help me out with this?
QUEST_UNUSED_20151022_000932	I will give you the detector so please see how it reacts to it.{nl}It will only react on the marks that were put on by merchants so you won't get lost.
QUEST_UNUSED_20151022_000933	Isn't this really a good method?{nl}We put marks on all objects of the Merchants just in case they happened to get lost.
QUEST_UNUSED_20151022_000934	Ahah, you've found the most important object!{nl}This is the mysterious ink.{nl}
QUEST_UNUSED_20151022_000935	This is the secret ink which you use when you have to hide the records.{nl}It is very expensive as a result.{nl}
QUEST_UNUSED_20151022_000936	You've been a great help to me so far.{nl}We will take care of the rest!{nl}
QUEST_UNUSED_20151022_000937	Leopoldas?{nl}Ah, he is our brother. What's the matter?{nl}
QUEST_UNUSED_20151022_000938	He sent you to help me?{nl}I can't believe it.{nl}
QUEST_UNUSED_20151022_000939	Well, anyways, it's good.{nl}That damn monster took away everything.{nl}
QUEST_UNUSED_20151022_000940	Other things are fine, but the problem is the teaching materials for the newcomers.{nl}If we don't have those, we have to work from the beginning.{nl}
QUEST_UNUSED_20151022_000941	You've seen the newcomers who Leopoldas manages right?{nl}These are the documents to educate those newcomers.{nl}
QUEST_UNUSED_20151022_000942	Well, we, merchants support the will of the goddesses, but we moved secretly from behind.{nl}But, we can't stand anymore since the world is like this.
QUEST_UNUSED_20151022_000943	That's why we've decided to hire new people and participate more actively.{nl}But, since the world is like this, we can't just do nothing.{nl}
QUEST_UNUSED_20151022_000944	Anyways, if you are going to help me, please get me those documents again.{nl}If we don't have those, it would become complicated.
QUEST_UNUSED_20151022_000945	It's not going to be over even if we find all those documents.{nl}Get ready since we also have to create the manuscript.
QUEST_UNUSED_20151022_000946	I know the good meaning of it, but I am not sure if we are going to survive.{nl}If so, we are not doing something that we hadn't done before so it doesn't matter.{nl}
QUEST_UNUSED_20151022_000947	Fighting against monsters are not something rare.
QUEST_UNUSED_20151022_000948	Good. Our brother send us a good helper.{nl}Let's make the manuscript now.
QUEST_UNUSED_20151022_000949	I will do the writing anyways so you don't have to worry.{nl}What I need is the ink.{nl}
QUEST_UNUSED_20151022_000950	If there's an ink that is made up the body fluid from the monsters, it would last long.{nl}I will give you the trap so I am counting on you for the monster body fluid.
QUEST_UNUSED_20151022_000951	Put the trap on the way that monsters cross.{nl}When monsters faint out after stepping on the trap, get the body fluid.{nl}
QUEST_UNUSED_20151022_000952	Ah, this is the trick that only works at Droze Empty Lot so you should only put the trap there.
QUEST_UNUSED_20151022_000953	You've already obtained all of them?{nl}
QUEST_UNUSED_20151022_000954	I knew it. We still need more.
QUEST_UNUSED_20151022_000955	This is enough.{nl}You've done well so far.{nl}
QUEST_UNUSED_20151022_000956	If we meet next time, I will treat you a lot from our merchants,.{nl}I will do the rest so go back.
QUEST_UNUSED_20151022_000957	Hello.{nl}Have you ever heard of Nestospa?{nl}
QUEST_UNUSED_20151022_000958	Well, it doesn't really matter even if we didn't hear anything about it.{nl}They only concentrate on their religious belief quietly.{nl}
QUEST_UNUSED_20151022_000959	I am one of those Nestospa.{nl}Prayers are good, but I am making a tombstone to see if that's going to help the goddesses.{nl}
QUEST_UNUSED_20151022_000960	I am trying to get rid of the evil energy and send only sacred energy to the goddess.{nl}But, I am having a problem collecting materials. {nl}
QUEST_UNUSED_20151022_000961	Can you help me?
QUEST_UNUSED_20151022_000962	There are too many materials.{nl}Listen well.{nl}
QUEST_UNUSED_20151022_000963	Get some lime powder from monsters, and then some flat stones for construction.{nl}You'll be busy.
QUEST_UNUSED_20151022_000964	I can't just stand still even if I can't fact demons directly.{nl}Everyone does his/her own task.
QUEST_UNUSED_20151022_000965	Goold. Well done.{nl}Now the materials are all collected.. We need some special tools.
QUEST_UNUSED_20151022_000966	Good. Since you've helped me until now, why don't you make a tombstone yourself?{nl}Your name will be reached to the goddess with the sacred power.{nl}
QUEST_UNUSED_20151022_000967	Just do your best to make a shape.{nl}How about it? Do you want to try it?
QUEST_UNUSED_20151022_000968	Make it beautiful.{nl}I will do the rest so don't worry too much.
QUEST_UNUSED_20151022_000969	It's quite a nice shape, composed but heavy.{nl}Leave the final touches to me.{nl}
QUEST_UNUSED_20151022_000970	I don't know how many tombstones we are going to make..{nl}But, when you see this kind of tombstone from now on, please remember that there are people like us.{nl}
QUEST_UNUSED_20151022_000971	The kingdom hasn't been collapsed by the demons yet.{nl}If we do our best, we would be able to find the peace.{nl}
QUEST_UNUSED_20151022_000972	Ah, up there, We need help from Giedra near Baderam Hill.{nl}If you are okay, I want you to help me.
QUEST_UNUSED_20151022_000973	Do you have any business with me?{nl}
QUEST_UNUSED_20151022_000974	Antanas has asked you to help me?{nl}That's good. I am compiling the scripture of the goddesses here.{nl}
QUEST_UNUSED_20151022_000975	We should have something that we can rely on when we are facing diffculties like nowadays.{nl}
QUEST_UNUSED_20151022_000976	The scripture helped that.{nl}We should calm us down by reading the words of the goddesses.{nl}
QUEST_UNUSED_20151022_000977	We should first collect the materials to compile the scripture.{nl}Normal sheets become yellow and break.. We are trying to compile it with new materials now.{nl}
QUEST_UNUSED_20151022_000978	Transparent shells of monsters are good.{nl}When we engrave letters on them, they last long.{nl}Could you get me those?{nl}{nl}
QUEST_UNUSED_20151022_000979	Those are easy to find.{nl}Okay, then I am counting on you.
QUEST_UNUSED_20151022_000980	Everyone needs something to rely one.{nl}But the goddesses.. {nl}
QUEST_UNUSED_20151022_000981	Yes.{nl}We should be like a big tree that can be relied on.
QUEST_UNUSED_20151022_000982	You've brought them sooner than I expected.{nl}This shell would become the scripture after polising it up. Thank you.{nl}
QUEST_UNUSED_20151022_000983	To make the scripture, sheets are important, but binding is also important.{nl}Especially, the strings. It will be no good if the scripture gets untied.{nl}
QUEST_UNUSED_20151022_000984	The string that is made up of the leather of monster is the best, but the problem is that it is short.{nl}I will give you a Moru so can you make a leather string for the binding?{nl}
QUEST_UNUSED_20151022_000985	We should first obtain leather strings from monsters.{nl}After that, we will use this Moru to make a string for the binding.{nl}
QUEST_UNUSED_20151022_000986	We will connect short ones to make a long string for the binding.
QUEST_UNUSED_20151022_000987	I've learned the binding from Orsha long time ago.{nl}But, the task is too much with my own power.
QUEST_UNUSED_20151022_000988	Ah! What should I do? what should I do..{nl}Without it, I won't know if I am a Nestos or Anastos.{nl}
QUEST_UNUSED_20151022_000989	I am done. done.{nl}Since the pilgrim is over, I am trying to go to Pasaka Canyon, but I've done it again.{nl}Ahah.. I don't want to do this..
QUEST_UNUSED_20151022_000990	Yes? Ah, I didn't know you were there. I am sorry.{nl}I am now. Ah.. too desperate.{nl}
QUEST_UNUSED_20151022_000991	My luggage is gone.{nl}In fact what's inside are potato dumplings, books and etc, but the sign of Nestos.{nl}
QUEST_UNUSED_20151022_000992	Ah.. really. The sign of Nestos is most important.{nl}That is so important to me.. I am sure the monsters have taken it.
QUEST_UNUSED_20151022_000993	What should I do..{nl}How would I see the faces of Nestospa..
QUEST_UNUSED_20151022_000994	That's it!{nl}Wow, you've collected all of them!{nl}
QUEST_UNUSED_20151022_000995	How can I pay for this?{nl}
QUEST_UNUSED_20151022_000996	I was talking gibberish right?{nl}I am so sorry. I was too desperate so I wanted to give up on everything.{nl}
QUEST_UNUSED_20151022_000997	This sign is like a sacred object to us.{nl}This is the symbol that we gained lots of diverse knowledge and passed many ordeals.{nl}
QUEST_UNUSED_20151022_000998	We should go back.{nl}We won't lose it again right?{nl}
QUEST_UNUSED_20151022_000999	Ah...{nl}Antanas and Giedra keeps them well, but I don't undertand why I am losing them so often.{nl}I think I possess some secret power that pulls monsters..{nl}
QUEST_UNUSED_20151022_001000	Anyways, I will go to Pasaka Canyon now where the masters are present!{nl}Thank you so much!
QUEST_UNUSED_20151022_001001	In order to collect the sacred power, we should possess some necessary tools.{nl}As you can see, I am not a priest who has been training for a long time.{nl}
QUEST_UNUSED_20151022_001002	I've ordered some special hammer and chisel. {nl}Since the due date has reached, can you get me those?
QUEST_UNUSED_20151022_001003	Normal tools won't work.{nl}If they work, I wouldn't have asked for your help.
QUEST_UNUSED_20151022_001004	Did Antanas send you?{nl}His orders are too difficult..{nl}
QUEST_UNUSED_20151022_001005	Other blacksmiths would have problem fulfilling his orders.{nl}Here is the hammer. Are you going to engrave the sacred spell into it?
QUEST_UNUSED_20151022_001006	Chisel?{nl}I don't sell chisels so I've asked someone else to prepare for him.{nl}
QUEST_UNUSED_20151022_001007	Go meet Jura.{nl}She works at the equipment shop.
QUEST_UNUSED_20151022_001008	See you again later.{nl}You are going to repair your equipment here from now on right?
QUEST_UNUSED_20151022_001009	Welcome!{nl}The best equipment shop in Orsha!{nl}
QUEST_UNUSED_20151022_001010	Chisel?{nl}Are you talking about the chisel which Ilanai has given to you?{nl}
QUEST_UNUSED_20151022_001011	Good. Receive it.{nl}I guess your religious belief in the goddesses is strong.
QUEST_UNUSED_20151022_001012	Jura has the chisel.{nl}She works at the equipment shop.
QUEST_UNUSED_20151022_001013	Oh, you've made it well according to the order.{nl}Now, I guess I can get to work.
QUEST_UNUSED_20151022_001014	Do you still have things to order?{nl}You can just take a look around so please visit here often.
QUEST_UNUSED_20151022_001015	Have you found the chisel?{nl}I welcome orders like this so please keep visit our shop.
QUEST_UNUSED_20151022_001016	What do you think?{nl}Why don't you help us if you think eliminating demons is important even if our objectives are different from each other.
QUEST_UNUSED_20151022_001017	First of all, there are many polluted tombstones.{nl}I will break these so I want you to break the polluted tombstone at Usas Hill.{nl}
QUEST_UNUSED_20151022_001018	I think that tombstone is also spurting out the red energies.{nl}Like the tombstone beside. That's the proof of the pollution.
QUEST_UNUSED_20151022_001019	I can't understand.{nl}Albinas? Are you the member of the Anastos?{nl}That doesn't make sense?{nl}
QUEST_UNUSED_20151022_001020	I'm not saying I know everyone from the Anastospa...{nl}But we used to be part of the same Order so I know them well.{nl}
QUEST_UNUSED_20151022_001021	No way, bring him here at once! {nl}I'll have to hear from him myself!
QUEST_UNUSED_20151022_001022	When you have enough stones, go see Eduinas at the Nestospa camp.{nl}He'll use them to make stones for construction.{nl}
QUEST_UNUSED_20151022_001023	Eduinas won't be happy if he finds out you made this tombstone, though.{nl}Just keep that in mind if you want to take responsibility.
QUEST_UNUSED_20151022_001024	While I am polishing up the materials, I don't want to see your face.{nl}How about defeating the monsters that make the place around here messy.
QUEST_UNUSED_20151022_001025	Since everything is done, go back to Damijonas with this.{nl}Do not ever do it again.
QUEST_UNUSED_20151022_001026	You've got it. Now, I will start the recovery.{nl}It is fortunate that the damage wasn't severe.
QUEST_UNUSED_20151022_001027	We and the Anastospa have different opinions, but we are not hostile to each other.{nl}Ever since the unknown name came out, it's apparent that we suspect it.{nl}
QUEST_UNUSED_20151022_001028	And you even broke the tombstone.{nl}Anyways, since you've done your responsibility, I will forgive you.{nl}
QUEST_UNUSED_20151022_001029	Don't you feel it's unfair to just let it go?{nl}Since there's a camp of Anastospa up there, go there and ask.{nl}It's really strange.
QUEST_UNUSED_20151022_001030	Yes, I am Anastos'... yes that's right.{nl}What brought you here?{nl}
QUEST_UNUSED_20151022_001031	Sorry, I can't answer your questions at the moment since I am too busy at the moment..{nl}If you can find my research documents, I may get some spare time...
QUEST_UNUSED_20151022_001032	Instead of blind devotion, a life of eliminating demons and preparing for chaos..{nl}I mean those kind of things.{nl}
QUEST_UNUSED_20151022_001033	This is truly strange.{nl}I should send one of my colleagues to find it out.
QUEST_UNUSED_20151022_001034	Ah, by the way, I am thinking about giving him a flare to prepare for any danger, but{nl}There aren't any adequate flares.{nl}
QUEST_UNUSED_20151022_001035	Can you get us the powders that burn well in the fire?{nl}There are so many monsters around so it won't be hard to obtain the materials.
QUEST_UNUSED_20151022_001036	Let's wait for the investigation results.{nl}He is a competant lad so he will find it out soon.
QUEST_UNUSED_20151022_001037	Since we can't just stand still, how about we find it out ourselves as well?{nl}
QUEST_UNUSED_20151022_001038	Good. Barte may have seen something.{nl}She recently joined our camp.{nl}
QUEST_UNUSED_20151022_001039	How about you ask her about Albinas?{nl}
QUEST_UNUSED_20151022_001040	Albinas?{nl}I saw someone matching your description near Majiva Grave Field.{nl}
QUEST_UNUSED_20151022_001041	When you go back to Majiva Grave Field, that leather may be still there.{nl}I... even if the goddesses tell me to go, I can't since I am too scared.
QUEST_UNUSED_20151022_001042	What's the matter?{nl}I can't think anyone who would use that pattern except for the servant of Baiga.{nl}
QUEST_UNUSED_20151022_001043	We better let other people know this fast.{nl}You let Gedas know!{nl}
QUEST_UNUSED_20151022_001044	Please, save Fabijus!{nl}Ah, before that, we better go back to Nestospa!{nl}
QUEST_UNUSED_20151022_001045	This holy water, please take it.{nl}You will get at least one chance of using it on the demons.{nl}
QUEST_UNUSED_20151022_001046	So you were safe.{nl}I've heard about Albinas from Fabijus.{nl}
QUEST_UNUSED_20151022_001047	Do you think that makes sense?{nl}You broke the well working tombstone and you are saying there is no tombstone?{nl}
QUEST_UNUSED_20151022_001048	What do you want me to say?{nl}I have a headache due to the tombstone so don't talk to me.
QUEST_UNUSED_20151022_001049	It is so fortunate that the divine water I gave to you was helpful.{nl}It gives me goose bumps to think that the demons are within humans and alienate.{nl}
QUEST_UNUSED_20151022_001050	Can you tell Damijonas about this?{nl}I think they must be protecting the broken tombstone near Usas Hill.
QUEST_UNUSED_20151022_001051	I was able to protect the conspiracy of the demons because of you.{nl}I thought we may have been seperated.
QUEST_UNUSED_20151022_001052	Oh. That's right.{nl}Is there anything you found out about Albinas?{nl}
QUEST_UNUSED_20151022_001053	I am sure there are people who fell into their alienating.{nl}They are trying to break them from inside...{nl}
QUEST_UNUSED_20151022_001054	Anyways, thank you.{nl}I hope the goddesses bless you.
QUEST_UNUSED_20151022_001055	Albinas has disappeared! What's going on?
QUEST_UNUSED_20151022_001056	What, Are you interested in the revelation?{nl}But, there arent anything besides those writings...{nl}
QUEST_UNUSED_20151022_001057	First, you bring their attention as Eminent tells you to.{nl}At the same time, let's activate the magic circle at Paramiso Battle Field in secret with me.
QUEST_UNUSED_20151022_001058	You guys should be punished according to kingdom orders in principle.{nl}But, since you've saved our lives and many of our collegues have failed..{nl}
QUEST_UNUSED_20151022_001059	The safety of our colleagues comes first instead of your punishment.{nl}If you could help recapture our headquarters, then I will not question why you've entered here.
QUEST_UNUSED_20151022_001060	I will prepare the magic with the memories of the spirits so you go to Ataka Side Road.{nl}Bring everything you can.{nl}
QUEST_UNUSED_20151022_001061	I've seen the magic circles were activating. You are okay right? {nl}How about Eminent?{nl}
QUEST_UNUSED_20151022_001062	The space which the tyrant who you've asked threw away is probably.. {nl}It is the prison that was made in the era of Kadumel era. {nl}
QUEST_UNUSED_20151022_001063	Restoring the magic circle was the duty of Higgs, but we have no other way since he is injured.{nl}Also everyone is getting tired due to the coldness.. I want to lend your power.
QUEST_UNUSED_20151022_001064	You are better than Higgs.{nl}Can you help us one more time?{nl}
QUEST_UNUSED_20151022_001065	I met the monsters while returning with the message.{nl}I think I can move if I take little more rest, but this message should be delivered fast..{nl}
QUEST_UNUSED_20151022_001066	You seem competent as a swordsman.{nl}Do you have any plans to reach a higher stage?
QUEST_UNUSED_20151022_001067	First, show me your skills.{nl}From the Woods of the Linked Bridges, come back after defeating 10 Lapflammers and 10 Lapemans.
QUEST_UNUSED_20151022_001068	If you train hard, it won't be that hard.
QUEST_UNUSED_20151022_001069	Good.{nl}You look competent enough to progress to the next level.
QUEST_UNUSED_20151022_001070	Are you the one who wants to walk the way of Highlander?{nl}Then, you should pass the test.{nl}I don't have time to waste on someone who is not worthy enough.
QUEST_UNUSED_20151022_001071	The main weapon of the Highlander are the two handed swords. They are strong, but you should possess enough power to hold the swords.{nl}Attack the practice pole near it and I will test how strong you are.
QUEST_UNUSED_20151022_001072	Attack the practice pole near me.{nl}I will evaluate how strong you are.
QUEST_UNUSED_20151022_001073	Hmm... It seems that you won't have a big problem.{nl}If you pass one more test, I will teach the skills of Highlander.
QUEST_UNUSED_20151022_001074	Your power seems to be enough.{nl}Now, I will check how you use that power well.
QUEST_UNUSED_20151022_001075	With you skills, Lapflammers at Paupys Dock won't be hard.{nl}When you come back after defeating 10 of them, I will open the way of Highlander to you.
QUEST_UNUSED_20151022_001076	Come back after defeating Lapflammers at Paupys Dock.
QUEST_UNUSED_20151022_001077	Your competence won't do any harm to Highlanders' fame.{nl}My father who is a master would say the same thing.{nl}On behalf of the master, I will teach you the skills of Highlander.
QUEST_UNUSED_20151022_001078	You want to become a Peltasta? That's a wise decision.{nl}Let me ask one question to you. Do you hate the demons?
QUEST_UNUSED_20151022_001079	Good. The most basic requirements have been fulfilled.{nl}We, Peltastas use the shield aggressively to face against the enemies.{nl}So you must have the basic understanding of using the shield.
QUEST_UNUSED_20151022_001080	I'm going to ask you for some materials for your shield.{nl}First you collect metal decorations from Lapemans.{nl}Also, gather some dry wood from an isolated worshop there.
QUEST_UNUSED_20151022_001081	The Lapeman metal decorations are used for the frame, the wood for the body.{nl}You'll find both in Paupys Crossing.
QUEST_UNUSED_20151022_001082	Well done.{nl}When you obtain the manual for the shield in the future, I want you to make it yourself by collecting the materials yourself.
QUEST_UNUSED_20151022_001083	Welcome to the world of Peltastas.{nl}Let's do our best until we defeat all the demons!
QUEST_UNUSED_20151022_001084	It's always good to see new brothers and sisters.{nl}Can you help the villagers here with me?
QUEST_UNUSED_20151022_001085	It's not good since Lapemans are keep giving the villagers pain at Linked Bridges.{nl}In fact, I want to punish them myself.{nl}But, Rosaliya... told me that I should not leave Orsha.
QUEST_UNUSED_20151022_001086	On behalf of me, please correct the bad habit of Lapezards and Lapemiter.
QUEST_UNUSED_20151022_001087	I am just doing my important duty which I've received from Master.{nl}I am not jealous of your journey!
QUEST_UNUSED_20151022_001088	Have you completed the mission?{nl}You would be able to become a higher level Cleric.
QUEST_UNUSED_20151022_001089	I welcome any brothers or sisters who would walk the way of Krivi.{nl}My name is Mellinda.{nl}I am going to give you a simple test if you are qualified to become a Krivi. Are you okay?
QUEST_UNUSED_20151022_001090	Good. The test is simple.{nl}Receive this crystal jewel.
QUEST_UNUSED_20151022_001091	This absorbs the monster's vitalities and possess them as the energy of the flame.{nl}Hunt for the monsters outside the city and put the energies into the jewel.
QUEST_UNUSED_20151022_001092	When the jewel gets big, use the jewel to light up the torch beside me.{nl}With that, I will test to see if you would be able to use the energies of the torch well.
QUEST_UNUSED_20151022_001093	Defeat the monsters and fill in the energies of the jewel.{nl}And when you light up the torch with the jewel, the test will be over.
QUEST_UNUSED_20151022_001094	I think you would be able to use the energy of the torch efficiently.{nl}Welcome to the way of Krivi.
