QUEST_LV_0200_20150317_000001	Philipas' Soldier
QUEST_LV_0200_20150317_001034	Oh, this one is quite big.{nl}Good job.
QUEST_LV_0200_20150317_001035	Now, go to Vulvini Farm.{nl}If we could provide proof that the monsters are after the honey, the priests should stop only thinking about their altars.{nl}
QUEST_LV_0200_20150317_001036	There are many altars around here.{nl}You know about them already, no? They were all created to praise Goddess Austeja.
QUEST_LV_0200_20150317_001037	The disciples are only concentrating on the altars so they don't care whether we die in hunger or not.{nl}They think everything will be solved if they pray hard.{nl}That's why we decided to take an action.
QUEST_LV_0200_20150317_001038	With a beehive that huge, you will definitely lure monsters.
QUEST_LV_0200_20150317_001039	How was it? How did they react?
QUEST_LV_0200_20150317_001040	No response?{nl}Darn.. So they weren't just going after the honey.{nl}
QUEST_LV_0200_20150317_001041	The monsters have been gathering near Bichiu Altar, so I figured they might be amassing honey there.{nl}But if they're not after the honey, maybe they're there for something else.
QUEST_LV_0200_20150317_001042	You will find Bichiu Altar if you go down the road from here. {nl}If you see something suspicious, please bring it to me.
QUEST_LV_0200_20150317_001043	You came back sooner than I expected.{nl}How was it? What did you see?
QUEST_LV_0200_20150317_001044	So the monsters were going after this fragment?{nl}This is my first time seeing it... I should first check Gaudeji Altar up there.
QUEST_LV_0200_20150317_001045	If something suspicous comes out like a while ago, please hand it over to Lamar who is near the tree observatory tower.{nl}I really... don't know.
QUEST_LV_0200_20150317_001046	Lamar
QUEST_LV_0200_20150317_001047	Maras told you to show me this?{nl}This is the very object that the priest stressed to us not to touch, was it broken like this originally?
QUEST_LV_0200_20150317_001048	I should talk to Maras about this.{nl}Something doesn't feel right... What could this be used for?
QUEST_LV_0200_20150317_001049	Riesz
QUEST_LV_0200_20150317_001050	The monsters ruined all the fields so I was trying to start from scratch again.{nl}And then of all a sudden, a Honeypin showed up, so I left everything and ran away.{nl}My farming tools.. I don't know what to do now.
QUEST_LV_0200_20150317_001051	Thank you so much.{nl}The place where I lost it is Shirsie Sunny Place.{nl}The Honeypin is huge and scary, so don't overdo it if you can't handle it.
QUEST_LV_0200_20150317_001052	Ah, yes, these are the ones.{nl}Everything would've been okay if we villagers could take care of the monsters.
QUEST_LV_0200_20150317_001053	Valda
QUEST_LV_0200_20150317_001054	Maras told us to gather as many empty beehive fragments as we can, but that doesn't make sense at all.{nl}That implies we defeat the monsters, which we can't!{nl}
QUEST_LV_0200_20150317_001055	I beg you.{nl}Please think of it like saving a person and collect those beehives for me.
QUEST_LV_0200_20150317_001056	Really? I am so touched.{nl}Ah, the beehives are at Saldus Bee Farm.{nl}
QUEST_LV_0200_20150317_001057	I can't do it this time, even if we lose all of this year's supply of honey.{nl}We may be better off just worrying about lost farming tools like Riesz.
QUEST_LV_0200_20150317_001058	Wow, they are so fragrant! {nl}Thank you so much. {nl}Ah, please keep this a secret from Maras, okay?
QUEST_LV_0200_20150317_001059	We shouldn't stop farming even if the monsters are making a mess.{nl}But the monsters are still scary. Can you help me? It's not that hard.
QUEST_LV_0200_20150317_001060	Really? Thank you!{nl}Please sow these seeds at Radanza Farm. Okay, I am counting on you!
QUEST_LV_0200_20150317_001061	After you sow the seeds, they will grow by themselves.{nl}Of course, you should take care of them sometimes while avoiding monsters.
QUEST_LV_0200_20150317_001062	I am relieved for now.{nl}The rest will be okay when Maras and Lamar get rid of the monsters.
QUEST_LV_0200_20150317_001063	Priest Raeli
QUEST_LV_0200_20150317_001064	Goddess Austeja is sealing two spots that are the source of the vicious energy.{nl}However, due to demons' continuous attacks, the seal is getting weaker.{nl}
QUEST_LV_0200_20150317_001065	That's why we lured the demons into demonic stones...{nl}Hasty behavior from the villagers created the trouble.
QUEST_LV_0200_20150317_001066	There is no way you can say you have nothing to do with this.
QUEST_LV_0200_20150317_001067	I don't know if Medzio Diena was the cause, but since some time ago,{nl}the evil energy began to dwell deep underground.{nl}The energy has accumulated so much, it could explode anytime now.{nl}
QUEST_LV_0200_20150317_001068	Goddess Austeja has been trying her best to seal that energy with her power.{nl}If she had not done that, this forest might have very well turned into a thorn forest.{nl}
QUEST_LV_0200_20150317_001069	A land where the only living creatures are monsters.. a devastated land.{nl}
QUEST_LV_0200_20150317_001070	I would briefly explain the situation to you now, but I sense monsters coming this way.{nl}We've prepared a guardian stone at the edge of the village for times like this.
QUEST_LV_0200_20150317_001071	I am relieved by your words.{nl}If we can't hold them back all of Siauliai Woods may be destroyed, so I am counting on you.{nl}
QUEST_LV_0200_20150317_001072	I will explain everything to you in detail after you come back.{nl}Please get rid of the monsters.
QUEST_LV_0200_20150317_001073	I am now a little relieved.{nl}My greeting was a bit late. I am Priest Raeli serving Goddess Austeja.
QUEST_LV_0200_20150317_001074	The purification back then?{nl}Unlike the other Revelators who succumbed to the evil energy, I purified you in the name of the goddess.{nl}
QUEST_LV_0200_20150317_001075	The goddesses have already blessed the villagers, they just don't know about it.{nl}The goddesses don't want chaos.
QUEST_LV_0200_20150317_001076	It is good to hear that you feel involved.{nl}
QUEST_LV_0200_20150317_001077	We need to purify those demons to obtain something.{nl}Please obtain the branches of the bee trees near the village. They are endowed with the power of Goddess Austeja.
QUEST_LV_0200_20150317_001078	We should get this done quickly, before the monsters rush in again.
QUEST_LV_0200_20150317_001079	You brought them. Good.{nl}
QUEST_LV_0200_20150317_001080	Remember how I said that there are two sources of evil energy?{nl}For them both, I will make an orb that will restore the seal for this area.
QUEST_LV_0200_20150317_001081	First, bring me some demons' ashes that I will make the orb with.{nl}When the demons are pierced with these bee tree branches,{nl}they will be overwhelmed by the branch's divine power and turn into ash.{nl}
QUEST_LV_0200_20150317_001082	Obviously, the goddess' powers can only indirectly affect demons. {nl}You will have to exhaust some of the demon's HP before using a branch on it.
QUEST_LV_0200_20150317_001083	Well done. {nl}It is uncomfortable to use the demons as sacrifice but... we're now reaching the final stage.
QUEST_LV_0200_20150317_001084	Take this orb. I made it in a hurry, so it's not complete yet. {nl}You must fill it with magic at a place that is full of the goddess' holy energy.
QUEST_LV_0200_20150317_001085	Palama Cliff is the nearest place you can do this at, so please head there. {nl}The demons will be marching in soon, so please hurry.
QUEST_LV_0200_20150317_001086	This will be enough. {nl}Please prepare before you restore the seal. It might become a tough battle.
QUEST_LV_0200_20150317_001087	The weakened seal tower is near Stulr Road. {nl}I'm getting a little bothered about how quiet the demons have been recently.
QUEST_LV_0200_20150317_001088	Please hurry. I can feel that the seal is weak. {nl}May you have the goddess' blessings..
QUEST_LV_0200_20150317_001089	I believe you are the Revelator who purified the sealed tower?
QUEST_LV_0200_20150317_001090	I have been suppressing the evil energy here.
QUEST_LV_0200_20150317_001091	Please restore the seal tower at Spring Light Woods.
QUEST_LV_0200_20150317_001092	After the evil energy gushed out, plants mutated and enlarged abnormally. {nl}It seems dangerous, so I just watched from afar but it fumed out an ominous energy. {nl}I'm worried those mutated plants might harm the villagers.
QUEST_LV_0200_20150317_001093	That would be so thankful. {nl}But you don't know how dangerous it could be so be careful.
QUEST_LV_0200_20150317_001094	So could it be the evil forces that turned it to become so grotesque?
QUEST_LV_0200_20150317_001095	Ah... the monsters were hiding in it. {nl}But it's a relief that you defeated it.
QUEST_LV_0200_20150317_001096	Gieriger Druva
QUEST_LV_0200_20150317_001097	Let me tell you a secret not even the villagers know about. {nl}I went all the way to Fedimian and bought this expensive charm. {nl}They said it will drive away the monsters. {nl}
QUEST_LV_0200_20150317_001098	And so... {nl}I want to ask for your help putting a scarecrow up with this charm. Hehe.
QUEST_LV_0200_20150317_001099	I knew you'd get it. {nl}Now, if you want to put up a scarecrow, you'll have to gather the ingredients first. {nl}Please get me some planks of Oak Wood from around the village.
QUEST_LV_0200_20150317_001100	I'd be really rich if things go well this time. Hehe..
QUEST_LV_0200_20150317_001101	That's a lot. {nl}It sure is good enough.
QUEST_LV_0200_20150317_001102	Now, please put this scarecrow up with this charm attached to it on my farm. {nl}I want to watch the fun up here by myself.
QUEST_LV_0200_20150317_001103	The farm is located on the left of Arkllui Crossroads. {nl}It's a bit far but that's how I stay low from the villagers.
QUEST_LV_0200_20150317_001104	Ruined Bee Farmer Logen
QUEST_LV_0200_20150317_001105	It's all gone... I have lost everything... {nl}I took care of the beehives for years... and the monsters destroyed everything. {nl}The priest told me to persevere, but...
QUEST_LV_0200_20150317_001106	Are you trying to cheer me up? {nl}Then nothing would be better than teaching those monsters a lesson in pain.
QUEST_LV_0200_20150317_001107	I know the priest is right, but I can still rant about it, right?
QUEST_LV_0200_20150317_001108	That makes me feel better. {nl}How I wish they'd all be gone forever.
QUEST_LV_0200_20150317_001109	Priest Dazine
QUEST_LV_0200_20150317_001110	Revelator. I assume you've heard the story from Goddess Austeja. {nl}That there are a number of Revelators who were addled by the evil energy attacking the village while trying to restore the seal here. {nl}
QUEST_LV_0200_20150317_001111	There is a way to save them. {nl}We can purify them if we find the symbol of Goddess Austeja.
QUEST_LV_0200_20150317_001112	First regain the goddess' symbol and then use it to restore the Austeja Altar. {nl} Purifying the Revelators will come next.
QUEST_LV_0200_20150317_001113	Whether it's to restore the weakened seal or to cure the addled Revelators, {nl}We will need that symbol.
QUEST_LV_0200_20150317_001114	The damage is worse than at the seal in the shaking field. {nl}The evil forces are fuming out stronger.
QUEST_LV_0200_20150317_001115	Fortunately, the goddess blessed the villagers with her divine protection before focusing her effort on the seal... {nl}The Revelators from before had no way of knowing about this, their fates were sealed.
QUEST_LV_0200_20150317_001116	This is it, Revelator. {nl}This will save the addled Revelators.
QUEST_LV_0200_20150317_001117	The addled Revelators will march towards here soon.{nl}Please purify them before anyone gets hurt.
QUEST_LV_0200_20150317_001118	Luckily, they did minimal damage. {nl}Now, if we can restore the seal, this will never have to repeat.
QUEST_LV_0200_20150317_001119	Restore the weakened seal towers using the symbol of Goddess Austeja.{nl}There is the Rankis Seal and the Ranka Seal.
QUEST_LV_0200_20150317_001120	The demons found out about the source of evil energy and so relentlessly attacked to destroy the seal. {nl}I'm sure if the seal is strengthened well this time, they will retreat after a while.
QUEST_LV_0200_20150317_001121	We don't know what will happen next, though.{nl} We just have to believe that Goddess Austeja will take care of everything if anything happens.
QUEST_LV_0200_20150317_001122	One thing that worries me is that... {nl}The symbol was destroyed once so it might not be fully restored again. {nl}Of course, everything will depend... on the goddess...{nl}
QUEST_LV_0200_20150317_001123	Merchant Dulke
QUEST_LV_0200_20150317_001124	Oh no, what do I do? {nl}I lost all my wares while running away from the monsters. {nl}But I'm afraid I might lose my mind like the other Revelators if I go back for it now.
QUEST_LV_0200_20150317_001125	At a glance, you wouldn't be able to tell if they are a human or a monster. {nl}They would have a blank, soulless stare and when called, it would disappear while making a strange noise.
QUEST_LV_0200_20150317_001126	And there are more than just one or two of them. {nl}Yet, I think the people in our village are still normal...{nl}Could the goddess have protected us with her blessings?
QUEST_LV_0200_20150317_001127	Please help me. {nl}I just started my business with everything I got, and now I'm afraid I'm about to end up with nothing.
QUEST_LV_0200_20150317_001128	Oh, I could never thank you enough... yes, this is my stuff. {nl}And I thought it was weird that you were fine, unlike the other Revelators. You truly are a special one.
QUEST_LV_0200_20150317_001129	Villager Emil
QUEST_LV_0200_20150317_001130	I used to travel in and out of town, but the priests told me to stay put, saying the seal is dangerous.{nl}That seal really is nothing for me, it's the demons that are scary.
QUEST_LV_0200_20150317_001131	I have to have a livelihood. {nl}The other villagers here just spend all day looking up to the priests and the goddess.
QUEST_LV_0200_20150317_001132	I've seen other Revelators here that got all weird, but you seem fine.{nl}Did you meet the goddess or something? {nl}Well, you did some great work. I wish I was as strong as you are.
QUEST_LV_0200_20150317_001133	Pharmacist Tiana
QUEST_LV_0200_20150317_001134	Priest Dazine asked me for medicine to cure the future addled Revelators with,{nl}but I ran out of Spring Light Grass... and I'm also scared of the demons.
QUEST_LV_0200_20150317_001135	You're such a sweet person. {nl}Oh, Spring Light Grass is not easy to find. {nl}It only appears when it's reacting to this honey jelly.
QUEST_LV_0200_20150317_001136	Thank you for so much help. {nl}I'm sure this will be more than enough for the priest.
QUEST_LV_0200_20150317_001137	Kirchenkerzenhalter
QUEST_LV_0200_20150317_001138	The Church Candlestick is not lit.
QUEST_LV_0200_20150317_001139	When that tree started to destroy the capital, the wheel of fate turned towards destruction. {nl}Laima said only a human could be chosen as the one to end that cycle.
QUEST_LV_0200_20150317_001140	I can feel a very strong force of the demon flowing in front.
QUEST_LV_0200_20150317_001141	You can't enter it now becuase the doors are sealed. {nl}Pass by the Tikinciuju Gallery and into the room. You'll find the barrier candlestick. {nl}The sealed door will open when you blow the candle.
QUEST_LV_0200_20150317_001142	The portal to the bishop's hidden room opened. {nl}You can go in the portal.
QUEST_LV_0200_20150317_001143	There was a sect to move all the relics to somewhere safe. {nl}But look at how horrible things have turned out.
QUEST_LV_0200_20150317_001144	How can they do this to the sacred things that contain the words of the great bishops...{nl}It's so resentful to see it just scattered among those blasphemous monsters.
QUEST_LV_0200_20150317_001145	Fortunately it does not seem damaged. {nl}If only I was stronger, I would have purified those monsters in the name of the goddess.
QUEST_LV_0200_20150317_001146	Some relics hide themselves when they feel an evil force. {nl}When that happens, you just can't find it no matter how hard you try.
QUEST_LV_0200_20150317_001147	That's why I brought the beads that can detect holiness{nl}but look at those monsters' eyes. {nl}They might kill us as soon as we find the sacred things.
QUEST_LV_0200_20150317_001148	Yes, good work. {nl}We've found the important things so we can ask the sisters for the other things.
QUEST_LV_0200_20150317_001149	The priests in the Great Cathedral were sent to release the curse of Naktis in the Pilgrim's Way. {nl}In my case, I'm looking for important documents but preferably those related to Naktis.
QUEST_LV_0200_20150317_001150	If you don't mind, can you help me find documents related to Naktis?
QUEST_LV_0200_20150317_001151	A lot of the Great Cathedral's facilities and documents were lost on Medzio Diena. Moreover, even the demons are damaging the facilities and documents further.
QUEST_LV_0200_20150317_001152	What about the documents?
QUEST_LV_0200_20150317_001153	Thank you for finding this much.
QUEST_LV_0200_20150317_001154	If you find any documents around the Great Cathedral, I want you to bring them to me.
QUEST_LV_0200_20150317_001155	What a trick those demons used... I don't think retrieving the documents will be easy as long the demons are here.
QUEST_LV_0200_20150317_001156	The demons stole all the documents I gathered.
QUEST_LV_0200_20150317_001157	The demons are obsessing over the things to the point it seems really weird. {nl}Last time, the demons stared at the wall for a while then started smashing it.
QUEST_LV_0200_20150317_001158	And even funnier, they took the fragments from it and left off somewhere.
QUEST_LV_0200_20150317_001159	You found it all back. Thank you.
QUEST_LV_0200_20150317_001160	Something urgent happened. Naktis' servants began attacking Maven's device. The demons will find the things Maven hid and take it to Naktis.
QUEST_LV_0200_20150317_001161	We have to get it back before it reaches the hands of Naktis.
QUEST_LV_0200_20150317_001162	The demons took away the things I got from my friend.
QUEST_LV_0200_20150317_001163	I don't know why but the demons are showing obsession over the things.
QUEST_LV_0200_20150317_001164	There are two Maven's devices left. {nl}But a problem occurred.
QUEST_LV_0200_20150317_001165	I don't know how to release one device.
QUEST_LV_0200_20150317_001166	There are Naktis' servants around the device so be careful.
QUEST_LV_0200_20150317_001167	Were you able to gather the data? Great, hand it to me.
QUEST_LV_0200_20150317_001168	The data says you need monster's fur, leather, or clothes that it wore. {nl}Defeat Naktis' servants nearby and get their leather and clothes.
QUEST_LV_0200_20150317_001169	You must be extremely careful of Naktis' servants.
QUEST_LV_0200_20150317_001170	You got all the materials.
QUEST_LV_0200_20150317_001171	Use the pot at the end of Laukti Narthex and make the medicine.
QUEST_LV_0200_20150317_001172	There is a pot at the end of Laukti Narthe which you can use to make it.
QUEST_LV_0200_20150317_001173	Go to the first device of Maven and get the key. {nl}Then go to the second device.
QUEST_LV_0200_20150317_001174	I am a priest sent to release the curse that is spread in Pilgrim's Way. {nl}There is a cursed pilgrim in this Penitence Route who I want to experiment with.{nl}Can you help me?
QUEST_LV_0200_20150317_001175	He won't take the medicine easily. {nl}Apply it on the meat so that he'll eat it.
QUEST_LV_0200_20150317_001176	It doesn't matter what it is as long as it's edible.
QUEST_LV_0200_20150317_001177	This should be enough.
QUEST_LV_0200_20150317_001178	Defeat the monsters nearby and get meat.
QUEST_LV_0200_20150317_001179	I'll give you the medicine. {nl}Apply it on the meat.
QUEST_LV_0200_20150317_001180	Apply the medicine on the meat.
QUEST_LV_0200_20150317_001181	Give the meat to the pilgrim.
QUEST_LV_0200_20150317_001182	Give meat to the pilgrim and observe his reaction.
QUEST_LV_0200_20150317_001183	Did the pilgrim eat the meat with medicine?
QUEST_LV_0200_20150317_001184	Thank you for your help.
QUEST_LV_0200_20150317_001185	I feel hungry no matter how much I eat...{nl}Hey... Please give me more food.
QUEST_LV_0200_20150317_001186	Give me some food, quickly.
QUEST_LV_0200_20150317_001187	I am part of the priests who were sent to release the curse of Naktis. {nl}We must study and collect data in order to release the curse of Naktis. {nl}But I have to find the bishop who said he'd protect the Cathedral after Medzio Diena. {nl}
QUEST_LV_0200_20150317_001188	Will you help me find him?
QUEST_LV_0200_20150317_001189	Oh no... The bishop returned as a corpse... {nl}Thank you for your help.
QUEST_LV_0200_20150317_001190	I need to bury the bishop but there are too many monsters around.
QUEST_LV_0200_20150317_001191	I shouldn't have left him in the Great Cathedral...
QUEST_LV_0200_20150317_001192	I received your help again. Thank you very much.
QUEST_LV_0200_20150317_001193	I'm worried about the whereabouts of the bishop.
QUEST_LV_0200_20150317_001194	Use Naktis' monsters... {nl}But how can we use them... {nl}Aha! We can turn into Naktis' monsters from the Sanctum and make the other monsters destroy it.
QUEST_LV_0200_20150317_001195	There are materials in the Sanctum with instructions on how to make a medicine that turns you into a monster. {nl}Find those materials.
QUEST_LV_0200_20150317_001196	Now it's time to tell Naktis' monsters where Maven's device is located.
QUEST_LV_0200_20150317_001197	I fell while holding the materials, and they slid under that device. {nl}It keeps moving up and down making it difficult to get them out.
QUEST_LV_0200_20150317_001198	That was close.
QUEST_LV_0200_20150317_001199	I'm sure Naktis' monsters took it. {nl}We better find the key quickly.
QUEST_LV_0200_20150317_001200	Von Maven zurückgelassenes Buch
QUEST_LV_0200_20150317_001201	Prove that you are the true Revelator through the priest of proof.
QUEST_LV_0200_20150317_001202	The revelation is in the room behind. Place the scripture that can summon my soul in the altar. Then the revelation will be interpreted.
QUEST_LV_0200_20150317_001203	It's horrible. {nl}Our church, to that blasphemous monster...
QUEST_LV_0200_20150317_001204	Gegensätzliche Befehle
QUEST_LV_0200_20150317_001205	Ich helfe, die Gegend auszukundschaften.
QUEST_LV_0200_20150317_001206	Wertvolles Eigentum des Soldaten (1)
QUEST_LV_0200_20150317_001207	Ich mache mich auf die Suche.
QUEST_LV_0200_20150317_001208	Wertvolles Eigentum des Soldaten (2)
QUEST_LV_0200_20150317_001209	Ich werde die getrockneten Zweige sammeln.
QUEST_LV_0200_20150317_001210	Ich rühr das nicht mehr an.
QUEST_LV_0200_20150317_001211	Wertvolles Eigentum des Soldaten (3)
QUEST_LV_0200_20150317_001212	Überlasse das nur mir.
QUEST_LV_0200_20150317_001213	Feuerholz vorbereiten/#SITGROPESET2/3.5/TRACK_BEFORE
QUEST_LV_0200_20150317_001214	Angriff des Riesen-Rotholzkobolds
QUEST_LV_0200_20150317_001215	Überprüfen/MAKING/2/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001216	Notice/Der Riesen-Rotholzkobold ist außer sich vor Zorn!#5
QUEST_LV_0200_20150317_001217	Sichern der Route zum Tor des Großen Königs (1)
QUEST_LV_0200_20150317_001218	Ignorieren
QUEST_LV_0200_20150317_001219	Sichern des Gebiets (1)
QUEST_LV_0200_20150317_001220	Sichern der Route zum Tor des Großen Königs (2)
QUEST_LV_0200_20150317_001221	Ich werde meine Dienste anbieten.
QUEST_LV_0200_20150317_001222	Dafür fehlt mir die Zeit.
QUEST_LV_0200_20150317_001223	Ein wenig Hilfe von der Eulenskulptur
QUEST_LV_0200_20150317_001224	Ich werde sie dir vom Hals schaffen.
QUEST_LV_0200_20150317_001225	Sichern der Route zum Tor des Großen Königs (3)
QUEST_LV_0200_20150317_001226	Ich mache mich auf die Suche.
QUEST_LV_0200_20150317_001227	Das sieht gefährlich aus.
QUEST_LV_0200_20150317_001228	Aufbruch zur Reise
QUEST_LV_0200_20150317_001229	Späher in Bedrängnis
QUEST_LV_0200_20150317_001230	Ich begebe mich ins Drieza-Wasserland.
QUEST_LV_0200_20150317_001231	Verlassen wir diesen Ort gemeinsam.
QUEST_LV_0200_20150317_001232	Notice /Besiege Eisenbaum! /5
QUEST_LV_0200_20150317_001233	Der Bewohner des Grabes
QUEST_LV_0200_20150317_001234	Was ist los?
QUEST_LV_0200_20150317_001235	Hauptmann Vacenin (1)
QUEST_LV_0200_20150317_001236	Ich kann dir helfen.
QUEST_LV_0200_20150317_001237	Nach dem Katinwald fragen
QUEST_LV_0200_20150317_001238	Moos sammeln
QUEST_LV_0200_20150317_001239	Ich werde das Moos sammeln.
QUEST_LV_0200_20150317_001240	Farbloses Gras sammeln
QUEST_LV_0200_20150317_001241	Ich werde das farblose Gras für deine Nachforschungen sammeln.
QUEST_LV_0200_20150317_001242	Baumrinde sammeln
QUEST_LV_0200_20150317_001243	Kümmern wir uns gemeinsam darum.
QUEST_LV_0200_20150317_001244	Geheimnis der Baumrinde (4)
QUEST_LV_0200_20150317_001245	Ich beseitige den Waldgeist!
QUEST_LV_0200_20150317_001246	Wald der Furcht
QUEST_LV_0200_20150317_001247	Ich überbringe das Flügelfragment.
QUEST_LV_0200_20150317_001248	Flügelfragment (1)
QUEST_LV_0200_20150317_001249	Abliefern/MAKING/3/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0200_20150317_001250	Flügelfragment (2)
QUEST_LV_0200_20150317_001251	Vorschlagen, den Flügel zu überbringen
QUEST_LV_0200_20150317_001252	Lagerfeuer des Patrouillenwegs
QUEST_LV_0200_20150317_001253	Dafür ist keine Zeit.
QUEST_LV_0200_20150317_001254	Lagerfeuer des Patrouillenwegs (2)
QUEST_LV_0200_20150317_001255	Platzieren/FIRE/1.5/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0200_20150317_001256	Notice/Das Lagerfeuer wurde angezündet.#3
QUEST_LV_0200_20150317_001257	Lagerfeuer des Patrouillenwegs (3)
QUEST_LV_0200_20150317_001258	Lagerfeuer des Patrouillenwegs (4)
QUEST_LV_0200_20150317_001259	Hauptmann Vacenin (2)
QUEST_LV_0200_20150317_001260	Zurück zum Lager
QUEST_LV_0200_20150317_001261	Ich werde eine kleine Rast einlegen.
QUEST_LV_0200_20150317_001262	Gedenkfeier (1)
QUEST_LV_0200_20150317_001263	Ich werde ihre Überreste einsammeln.
QUEST_LV_0200_20150317_001264	Dafür ist keine Zeit.
QUEST_LV_0200_20150317_001265	Nach der Eulenskulptur fragen
QUEST_LV_0200_20150317_001266	Die ganze Macht der Seele (1)
QUEST_LV_0200_20150317_001267	Ich werde den Seelenstein holen.
QUEST_LV_0200_20150317_001268	Die ganze Macht der Seele (2)
QUEST_LV_0200_20150317_001269	Ich werde die Seele läutern.
QUEST_LV_0200_20150317_001270	Eröffnung/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001271	Fliehende Medusenlarven
QUEST_LV_0200_20150317_001272	Ich werde Medusenlarven sammeln.
QUEST_LV_0200_20150317_001273	Zurückgelassene Seele
QUEST_LV_0200_20150317_001274	Ich werde die Monster für dich besiegen.
QUEST_LV_0200_20150317_001275	Geflohene Seele
QUEST_LV_0200_20150317_001276	Ich werde das Gepäck des Händlers finden.
QUEST_LV_0200_20150317_001277	Vergessene Seele
QUEST_LV_0200_20150317_001278	Ich werde die Schriftrolle wiederbeschaffen.
QUEST_LV_0200_20150317_001279	Hinweis auf den Pilger
QUEST_LV_0200_20150317_001280	Ich werde eine Abschrift des Epitaphs anfertigen.
QUEST_LV_0200_20150317_001281	Meer aus Feuer
QUEST_LV_0200_20150317_001282	Ich werde die Flamme der Sequoia löschen!
QUEST_LV_0200_20150317_001283	Unterstützung der Nachhut
QUEST_LV_0200_20150317_001284	Ich werde die Reihen der Monster ausdünnen.
QUEST_LV_0200_20150317_001285	Es tut mir leid, da kann ich nicht helfen.
QUEST_LV_0200_20150317_001286	Nach der Waldstraße fragen
QUEST_LV_0200_20150317_001287	Gedenkfeier (2)
QUEST_LV_0200_20150317_001288	Ich werde die Besitztümer zurückholen.
QUEST_LV_0200_20150317_001289	Ich kann nicht jedem helfen.
QUEST_LV_0200_20150317_001290	Gedenkfeier (3)
QUEST_LV_0200_20150317_001291	Woher bekomme ich Schmetterlingsduft?
QUEST_LV_0200_20150317_001292	Ein Gebet für die Seele
QUEST_LV_0200_20150317_001293	Gefährlicher Thronweber (1)
QUEST_LV_0200_20150317_001294	Interessiert mich nicht.
QUEST_LV_0200_20150317_001295	Wieso zerstören die Monster Eulenskulpturen?
QUEST_LV_0200_20150317_001296	Gefährlicher Thronweber (2)
QUEST_LV_0200_20150317_001297	Ich werde Sakmoliwurzeln beschaffen.
QUEST_LV_0200_20150317_001298	Gefangene Seelen
QUEST_LV_0200_20150317_001299	Ich werde mich an der Nelaisve-Küste umsehen.
QUEST_LV_0200_20150317_001300	Alles wird gut.
QUEST_LV_0200_20150317_001301	Falsche Erlösung (1)
QUEST_LV_0200_20150317_001302	Ich werde die Seelen überreden und dorthin senden.
QUEST_LV_0200_20150317_001303	Nach den verschwundenen Seelen fragen
QUEST_LV_0200_20150317_001304	Notice/!/Überrede die wandernde Seele an der Nelaisve-Küste und führe sie zurück zur Eule!{nl}Du musst die Seele überreden, wenn du ihr begegnest!#5
QUEST_LV_0200_20150317_001305	Falsche Erlösung (2)
QUEST_LV_0200_20150317_001306	Ich werde zum Amolallul-Hügel reisen.
QUEST_LV_0200_20150317_001307	Angriff des Graugolems
QUEST_LV_0200_20150317_001308	Notice/!/Besiege den Golem, der plötzlich aufgetaucht ist!#8
QUEST_LV_0200_20150317_001309	Notice/!/Du hast den Graugolem besiegt!#8
QUEST_LV_0200_20150317_001310	Letzte Mission (1)
QUEST_LV_0200_20150317_001311	Das ist schade. Wir sollten ihm helfen.
QUEST_LV_0200_20150317_001312	Das jagt mir Angst ein. Ich will nicht!
QUEST_LV_0200_20150317_001313	Nach der Seele fragen
QUEST_LV_0200_20150317_001314	Letzte Mission (2)
QUEST_LV_0200_20150317_001315	Ich werde alte Kepa-Haut sammeln.
QUEST_LV_0200_20150317_001316	Ich bin beschäftigt, mehr kann ich nicht tun.
QUEST_LV_0200_20150317_001317	Letzte Mission (3)
QUEST_LV_0200_20150317_001318	Ich werde es an dem Monster ausprobieren.
QUEST_LV_0200_20150317_001319	Ich habe kein gutes Gefühl bei der Sache. Da muss ich passen.
QUEST_LV_0200_20150317_001320	Letzte Mission (4)
QUEST_LV_0200_20150317_001321	Ellomblätter sammeln
QUEST_LV_0200_20150317_001322	Letzte Mission (5)
QUEST_LV_0200_20150317_001323	Ich werde die Mission erledigen.
QUEST_LV_0200_20150317_001324	Das hört sich gefährlich an. Da mache ich nicht mit.
QUEST_LV_0200_20150317_001325	Köder platzieren/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001326	Entlegener Bereich des Katinwaldes
QUEST_LV_0200_20150317_001327	Immer mit der Ruhe. Das kann kein Totgeborener sein.
QUEST_LV_0200_20150317_001328	Der vermisste Trupp (1)
QUEST_LV_0200_20150317_001329	Ich werde den Späher finden.
QUEST_LV_0200_20150317_001330	Es tut mir leid, da kann ich nichts tun.
QUEST_LV_0200_20150317_001331	Der vermisste Trupp (2)
QUEST_LV_0200_20150317_001332	Ich werde die Monster als Erstes erledigen.
QUEST_LV_0200_20150317_001333	Ich brauche Zeit zur Vorbereitung.
QUEST_LV_0200_20150317_001334	Wo ist der Versorgungstrupp? (1)
QUEST_LV_0200_20150317_001335	Ich werde den Versorgungstrupp finden.
QUEST_LV_0200_20150317_001336	Wo ist der Versorgungstrupp? (2)
